# lat,lng,id,name,building_type,type,url,page_type
# marino -- Tutti
41.769141,12.668110,ov_ospedale_san_giuseppe_41.7691_12.6681,Ospedale San Giuseppe,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ospedale_san_giuseppe_41.7691_12.6681.json,custom
41.770782,12.603360,ov_pasticceria_alteri_41.7708_12.6034,Pasticceria Alteri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pasticceria_alteri_41.7708_12.6034.json,custom
41.774240,12.606000,ov_bar_campione_alla_stazione_41.7742_12.6060,BAR CAMPIONE alla stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_campione_alla_stazione_41.7742_12.6060.json,custom
41.774234,12.605911,ov_campyone_41.7742_12.6059,Campyone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/campyone_41.7742_12.6059.json,custom
41.778959,12.610129,ov_red_passion_bar_41.7790_12.6101,Red Passion Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/red_passion_bar_41.7790_12.6101.json,custom
41.774969,12.609631,ov_kirby_s_garden_41.7750_12.6096,Kirby's Garden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/kirbys_garden_41.7750_12.6096.json,custom
41.757667,12.603345,ov_bar_giannini_41.7577_12.6033,Bar Giannini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_giannini_41.7577_12.6033.json,custom
41.757610,12.603350,ov_bbbar_41.7576_12.6034,Bbbar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bbbar_41.7576_12.6034.json,custom
41.740658,12.617157,ov_netun_slot_41.7407_12.6172,Netun slot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/netun_slot_41.7407_12.6172.json,custom
41.762337,12.626229,ov_eden_ristopub_41.7623_12.6262,Eden Ristopub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/eden_ristopub_41.7623_12.6262.json,custom
41.769909,12.617845,ov_bar_sassone_41.7699_12.6178,BAR Sassone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_sassone_41.7699_12.6178.json,custom
41.766346,12.616353,ov_la_casetta_craft_beer_crew_41.7663_12.6164,La Casetta Craft Beer Crew,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_casetta_craft_beer_crew_41.7663_12.6164.json,custom
41.765648,12.616323,ov_nettun_slot_41.7656_12.6163,Nettun Slot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/nettun_slot_41.7656_12.6163.json,custom
41.766144,12.616999,ov_baron_cafe_41.7661_12.6170,Baron cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/baron_cafe_41.7661_12.6170.json,custom
41.763164,12.617756,ov_rendez_vous_41.7632_12.6178,Rendez Vous,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/rendez_vous_41.7632_12.6178.json,custom
41.757900,12.615948,ov_iacopini_delizie_41.7579_12.6159,Iacopini Delizie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/iacopini_delizie_41.7579_12.6159.json,custom
41.757743,12.615800,ov_baron_cafe_41.7577_12.6158,Baron Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/baron_cafe_41.7577_12.6158.json,custom
41.761612,12.613350,ov_bar_tabacchi_la_nave_41.7616_12.6134,Bar Tabacchi La Nave,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_tabacchi_la_nave_41.7616_12.6134.json,custom
41.767224,12.615597,ov_infinity_bar_41.7672_12.6156,Infinity Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/infinity_bar_41.7672_12.6156.json,custom
41.767540,12.615750,ov_bar_l_incontro_41.7675_12.6158,Bar L'Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_lincontro_41.7675_12.6158.json,custom
41.768620,12.612634,ov_moonshine_bar_41.7686_12.6126,Moonshine bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/moonshine_bar_41.7686_12.6126.json,custom
41.776087,12.610169,ov_bar_la_placita_41.7761_12.6102,BAR La Placita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_la_placita_41.7761_12.6102.json,custom
41.776605,12.610858,ov_caffetteria_campione_41.7766_12.6109,Caffetteria Campione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/caffetteria_campione_41.7766_12.6109.json,custom
41.776257,12.638900,ov_humo_brasa_y_musica_41.7763_12.6389,Humo Brasa Y Musica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/humo_brasa_y_musica_41.7763_12.6389.json,custom
41.770259,12.656286,ov_bar_paradiso_41.7703_12.6563,Bar Paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_paradiso_41.7703_12.6563.json,custom
41.768099,12.651134,ov_manhattan_caffe_41.7681_12.6511,Manhattan Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/manhattan_caffe_41.7681_12.6511.json,custom
41.762584,12.673055,ov_dejavu_41.7626_12.6731,Dejavu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/dejavu_41.7626_12.6731.json,custom
41.768514,12.662170,ov_bar_la_torre_41.7685_12.6622,Bar La Torre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_la_torre_41.7685_12.6622.json,custom
41.768739,12.662894,ov_wunder_kaffee_41.7687_12.6629,Wunder Kaffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/wunder_kaffee_41.7687_12.6629.json,custom
41.769244,12.664040,ov_enoteca_verdescuro_41.7692_12.6640,Enoteca Verdescuro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/enoteca_verdescuro_41.7692_12.6640.json,custom
41.769853,12.663329,ov_a_mi_me_piace_41.7699_12.6633,A mi me piace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/a_mi_me_piace_41.7699_12.6633.json,custom
41.769541,12.660636,ov_miscoli_f__41.7695_12.6606,Miscoli F.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/miscoli_f_41.7695_12.6606.json,custom
41.769757,12.659392,ov_bar__centrale__san__barnaba_41.7698_12.6594,Bar  centrale  San  Barnaba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_centrale_san_barnaba_41.7698_12.6594.json,custom
41.769658,12.658114,ov_mom__bar_41.7697_12.6581,Momò Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/mom_bar_41.7697_12.6581.json,custom
41.769829,12.657751,ov_l_oro_nero_di_via_roma_41.7698_12.6578,L'oro nero di via roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/loro_nero_di_via_roma_41.7698_12.6578.json,custom
41.770514,12.656768,ov_enocaf__sara_41.7705_12.6568,Enocafè Sara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/enocaf_sara_41.7705_12.6568.json,custom
41.770964,12.657490,ov_6ei_8ttavi_caffe_bistrot_41.7710_12.6575,6ei/8ttavi Caffe-Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/6ei8ttavi_caffe-bistrot_41.7710_12.6575.json,custom
41.771679,12.664152,ov_bar_middei_41.7717_12.6642,BAR Middei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_middei_41.7717_12.6642.json,custom
41.770438,12.666399,ov_bar_al_parco_41.7704_12.6664,Bar Al Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_al_parco_41.7704_12.6664.json,custom
41.774232,12.671376,ov_jolly_bar_due_41.7742_12.6714,Jolly Bar Due,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/jolly_bar_due_41.7742_12.6714.json,custom
41.774166,12.671441,ov_kic_koffee_bar_41.7742_12.6714,Kic Koffee Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/kic_koffee_bar_41.7742_12.6714.json,custom
41.770959,12.657531,osm_6ei_8ttavi_41.7710_12.6575,6ei/8ttavi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/6ei8ttavi_41.7710_12.6575.json,custom
41.771658,12.666986,osm_bar_de_marzi_41.7717_12.6670,Bar De Marzi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/bar_de_marzi_41.7717_12.6670.json,custom
41.772436,12.612372,osm_geronimo_s_pub_41.7724_12.6124,Geronimo's Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/geronimos_pub_41.7724_12.6124.json,custom
41.776406,12.591788,ov_il_gabbiano_41.7764_12.5918,Il Gabbiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/il_gabbiano_41.7764_12.5918.json,custom
41.771545,12.590275,ov_centro_estivo_green_house_41.7715_12.5903,Centro estivo Green House,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/centro_estivo_green_house_41.7715_12.5903.json,custom
41.771410,12.589920,ov_oper____pole_dance_studio___41.7714_12.5899,Operà - Pole Dance Studio -,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/oper_-_pole_dance_studio_-_41.7714_12.5899.json,custom
41.771381,12.590181,ov_corefit_s_maria_delle_mole_41.7714_12.5902,Corefit S.Maria delle Mole,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/corefit_smaria_delle_mole_41.7714_12.5902.json,custom
41.776271,12.595399,ov_crea_con_encanto_41.7763_12.5954,Crea con Encanto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/crea_con_encanto_41.7763_12.5954.json,custom
41.772538,12.595703,ov_idee_che_trasformano_41.7725_12.5957,Idee Che TrasFormano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/idee_che_trasformano_41.7725_12.5957.json,custom
41.771833,12.597825,ov_revolution_sport_center_41.7718_12.5978,Revolution Sport Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/revolution_sport_center_41.7718_12.5978.json,custom
41.773188,12.601353,ov_ass__culturale_alchimondo_41.7732_12.6014,Ass. culturale Alchimondo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ass_culturale_alchimondo_41.7732_12.6014.json,custom
41.773590,12.603538,ov_m_c_m__dance_academy_41.7736_12.6035,M.C.M. Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/mcm_dance_academy_41.7736_12.6035.json,custom
41.773210,12.603070,ov_le_otto_vie_41.7732_12.6031,Le Otto Vie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/le_otto_vie_41.7732_12.6031.json,custom
41.775223,12.607649,ov_vis_le_mole_41.7752_12.6076,Vis le Mole,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/vis_le_mole_41.7752_12.6076.json,custom
41.770077,12.603164,ov_modart_dance_studio_41.7701_12.6032,MoDART Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/modart_dance_studio_41.7701_12.6032.json,custom
41.744574,12.618718,ov_scuola_di_salsa_corazon_danzante_elisa_i_41.7446_12.6187,Scuola di Salsa Corazon Danzante Elisa Iacullo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/scuola_di_salsa_corazon_danzante_elisa_i_41.7446_12.6187.json,custom
41.742002,12.618163,ov_lo_zodiaco_41.7420_12.6182,Lo Zodiaco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/lo_zodiaco_41.7420_12.6182.json,custom
41.756008,12.611528,ov_asd_star_dust_di_alessandro_persichini_e_41.7560_12.6115,ASD Star Dust di Alessandro Persichini e Alessandra Di Pasqu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/asd_star_dust_di_alessandro_persichini_e_41.7560_12.6115.json,custom
41.775906,12.612011,ov_asd_simply_the_best_fitness_41.7759_12.6120,ASD Simply The Best Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/asd_simply_the_best_fitness_41.7759_12.6120.json,custom
41.770864,12.654953,ov_asd_kdance_41.7709_12.6550,ASD Kdance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/asd_kdance_41.7709_12.6550.json,custom
41.771582,12.656224,ov_gymnasium_2_srl_sport_dilett__41.7716_12.6562,Gymnasium 2 Srl Sport Dilett.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/gymnasium_2_srl_sport_dilett_41.7716_12.6562.json,custom
41.770286,12.636663,ov_scuola_banda_salsera_41.7703_12.6367,Scuola Banda Salsera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/scuola_banda_salsera_41.7703_12.6367.json,custom
41.771679,12.683034,ov_luxury_dance_41.7717_12.6830,Luxury Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/luxury_dance_41.7717_12.6830.json,custom
41.763080,12.672760,ov_centro_taus_41.7631_12.6728,Centro Taus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/centro_taus_41.7631_12.6728.json,custom
41.769901,12.660968,ov_il_tempio_degli_atleti_asd_41.7699_12.6610,Il Tempio Degli Atleti Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/il_tempio_degli_atleti_asd_41.7699_12.6610.json,custom
41.769668,12.661034,ov_ballet_school_41.7697_12.6610,Ballet School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ballet_school_41.7697_12.6610.json,custom
41.770808,12.656960,ov_a_s_d__ginnastica_marino_41.7708_12.6570,A.S.D. Ginnastica Marino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/asd_ginnastica_marino_41.7708_12.6570.json,custom
41.771126,12.659010,ov_middei_boxingtime_41.7711_12.6590,Middei BoxingTime,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/middei_boxingtime_41.7711_12.6590.json,custom
41.771776,12.666446,ov_associazione_amici_della_danza__marino_r_41.7718_12.6664,Associazione Amici della Danza (Marino RM),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/associazione_amici_della_danza_marino_rm_41.7718_12.6664.json,custom
41.774629,12.671655,ov_sport_e_salute_41.7746_12.6717,Sport e Salute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/sport_e_salute_41.7746_12.6717.json,custom
41.756322,12.614536,ov_villa_bernabei_41.7563_12.6145,Villa Bernabei,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/villa_bernabei_41.7563_12.6145.json,custom
41.770478,12.654413,ov_museo_del_vino___cantina_fabi___marino___41.7705_12.6544,Museo del Vino - Cantina Fabi - Marino (Rm),MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/museo_del_vino_-_cantina_fabi_-_marino_r_41.7705_12.6544.json,custom
41.768564,12.662633,ov_fontana_dei_quattro_mori_41.7686_12.6626,Fontana dei Quattro Mori,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/fontana_dei_quattro_mori_41.7686_12.6626.json,custom
41.768412,12.661712,ov_museo_civico_umberto_mastroianni_41.7684_12.6617,Museo Civico Umberto Mastroianni,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/museo_civico_umberto_mastroianni_41.7684_12.6617.json,custom
41.768615,12.660076,ov_museo_del_vino_di_marino_41.7686_12.6601,Museo del Vino di Marino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/museo_del_vino_di_marino_41.7686_12.6601.json,custom
41.770816,12.657356,osm_mail_boxes_etc_41.7708_12.6574,Mail Boxes Etc,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/mail_boxes_etc_41.7708_12.6574.json,custom
41.772838,12.600579,ov_biblioteca_comunale_di_santa_maria_delle_41.7728_12.6006,Biblioteca Comunale Di Santa Maria Delle Mole,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/biblioteca_comunale_di_santa_maria_delle_41.7728_12.6006.json,custom
41.770779,12.665852,ov_biblioteca_comunale_vittoria_colonna_41.7708_12.6659,Biblioteca Comunale Vittoria Colonna,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/biblioteca_comunale_vittoria_colonna_41.7708_12.6659.json,custom
