# lat,lng,id,name,building_type,type,url,page_type
# Arese -- Tutti
45.562591,9.064952,ov_azienda_ospedaliera_ospedale_niguarda_c__45.5626_9.0650,Azienda Ospedaliera Ospedale Niguarda Cà Granda,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/azienda_ospedaliera_ospedale_niguarda_c__45.5626_9.0650.json,custom
45.553389,9.074538,ov_feel_good_studio_personal_45.5534_9.0745,Feel Good Studio Personal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/feel_good_studio_personal_45.5534_9.0745.json,custom
45.553451,9.081717,ov_cici_sport_45.5535_9.0817,Cici.sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/cicisport_45.5535_9.0817.json,custom
45.550260,9.078769,ov_studio_pilates_arese_45.5503_9.0788,Studio Pilates Arese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/studio_pilates_arese_45.5503_9.0788.json,custom
45.556321,9.075020,ov_prime__studio_arese_45.5563_9.0750,PRIME. Studio Arese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/prime_studio_arese_45.5563_9.0750.json,custom
45.558293,9.065344,ov_le_aresine_45.5583_9.0653,Le Aresine,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/le_aresine_45.5583_9.0653.json,custom
45.552090,9.064250,ov_danzareseschool_sg_45.5521_9.0642,DanzareseSchool Sg,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/danzareseschool_sg_45.5521_9.0642.json,custom
45.551417,9.075134,osm_i_love_pilates_45.5514_9.0751,I Love Pilates,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/i_love_pilates_45.5514_9.0751.json,custom
45.557491,9.046241,ov_alfa_romeo_museum_45.5575_9.0462,Alfa Romeo Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/alfa_romeo_museum_45.5575_9.0462.json,custom
45.552103,9.073152,osm_mail_boxes_etc__45.5521_9.0732,Mail Boxes Etc.,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/mail_boxes_etc_45.5521_9.0732.json,custom
45.557284,9.077281,osm_poste_italiane_45.5573_9.0773,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/poste_italiane_45.5573_9.0773.json,custom
45.551540,9.069880,ov_centro_civico_l_agor__45.5515_9.0699,Centro Civico l'Agorà,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/centro_civico_lagor_45.5515_9.0699.json,custom
45.557205,9.082020,ov_biblioteca_comunale_45.5572_9.0820,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/biblioteca_comunale_45.5572_9.0820.json,custom
45.557301,9.082013,ov_new_civic_center_library_45.5573_9.0820,New Civic Center Library,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/new_civic_center_library_45.5573_9.0820.json,custom
45.557173,9.082138,osm_biblioteca_comunale_di_arese_45.5572_9.0821,Biblioteca comunale di Arese,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/biblioteca_comunale_di_arese_45.5572_9.0821.json,custom
