# lat,lng,id,name,building_type,type,url,page_type
# Tortolì -- Tutti
39.925365,9.663796,ov_radiolab_srl_39.9254_9.6638,Radiolab Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/radiolab_srl_39.9254_9.6638.json,custom
39.926821,9.657831,ov_caffe_italiano_39.9268_9.6578,Caffe Italiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/caffe_italiano_39.9268_9.6578.json,custom
39.926411,9.657686,ov_la_corte_tortoli_39.9264_9.6577,La Corte Tortoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_corte_tortoli_39.9264_9.6577.json,custom
39.926819,9.661599,ov_moka_store_tortol__39.9268_9.6616,Moka Store Tortolì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/moka_store_tortol_39.9268_9.6616.json,custom
39.926280,9.661650,ov_quattordici_once_39.9263_9.6616,Quattordici Once,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/quattordici_once_39.9263_9.6616.json,custom
39.926309,9.662042,ov_l_angolo_della_musica_39.9263_9.6620,l angolo della musica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/l_angolo_della_musica_39.9263_9.6620.json,custom
39.926539,9.662133,ov_mood_caf__cakes___drinks_39.9265_9.6621,Mood Cafè Cakes & Drinks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/mood_caf_cakes_drinks_39.9265_9.6621.json,custom
39.926423,9.662250,ov_bar_caff____caff__39.9264_9.6623,BAR Caffè & Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_caff_caff_39.9264_9.6623.json,custom
39.926473,9.662427,ov_tortoli_centro_39.9265_9.6624,Tortoli Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/tortoli_centro_39.9265_9.6624.json,custom
39.919350,9.659671,ov_hakuna_matata_39.9193_9.6597,Hakuna Matata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/hakuna_matata_39.9193_9.6597.json,custom
39.926215,9.654622,ov_bar_ferreli_39.9262_9.6546,BAR Ferreli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_ferreli_39.9262_9.6546.json,custom
39.926820,9.654960,ov_snack_bar_boomerang_39.9268_9.6550,Snack Bar Boomerang,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/snack_bar_boomerang_39.9268_9.6550.json,custom
39.926590,9.656400,ov_easy_bar_39.9266_9.6564,Easy bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/easy_bar_39.9266_9.6564.json,custom
39.926703,9.651669,ov_bar_dello_studente_snc_39.9267_9.6517,Bar Dello Studente SNC,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bar_dello_studente_snc_39.9267_9.6517.json,custom
39.917057,9.690172,osm_basaura_39.9171_9.6902,Basaura,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/basaura_39.9171_9.6902.json,custom
39.927386,9.669041,osm_bella_vista_bio_caff__39.9274_9.6690,Bella Vista Bio Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bella_vista_bio_caff_39.9274_9.6690.json,custom
39.927224,9.668201,osm_quarto_piano_rooftop_39.9272_9.6682,Quarto Piano Rooftop,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/quarto_piano_rooftop_39.9272_9.6682.json,custom
39.947428,9.687112,osm_chiosco_di_potente___oyster_bar_39.9474_9.6871,Chiosco di Potente - Oyster Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/chiosco_di_potente_-_oyster_bar_39.9474_9.6871.json,custom
39.924973,9.663970,osm_urban_caf__39.9250_9.6640,Urban cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/urban_caf_39.9250_9.6640.json,custom
39.937220,9.706795,ov_centro_sub_tortol__39.9372_9.7068,Centro sub Tortolì,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/centro_sub_tortol_39.9372_9.7068.json,custom
39.927910,9.689783,ov_green_village_39.9279_9.6898,Green Village,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/green_village_39.9279_9.6898.json,custom
39.931459,9.682603,ov_studio_pilates_la_marea_39.9315_9.6826,Studio Pilates La Marea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/studio_pilates_la_marea_39.9315_9.6826.json,custom
39.933614,9.680632,ov_palestra_sportiva_39.9336_9.6806,palestra sportiva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/palestra_sportiva_39.9336_9.6806.json,custom
39.933741,9.680539,ov_perfecta_professional_gym_39.9337_9.6805,Perfecta Professional GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/perfecta_professional_gym_39.9337_9.6805.json,custom
39.933655,9.680788,ov_asd_kinesis_cam_39.9337_9.6808,ASD Kinesis cam,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/asd_kinesis_cam_39.9337_9.6808.json,custom
39.930126,9.680070,ov_magic_dance_school_39.9301_9.6801,magic dance school,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/magic_dance_school_39.9301_9.6801.json,custom
39.930159,9.679932,ov_ares_fitness_club_39.9302_9.6799,Ares Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ares_fitness_club_39.9302_9.6799.json,custom
39.929454,9.675733,ov_benefitness_asd_39.9295_9.6757,BeneFitness ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/benefitness_asd_39.9295_9.6757.json,custom
39.931430,9.662930,ov_centro_wellness_da_romina_39.9314_9.6629,Centro Wellness da Romina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/centro_wellness_da_romina_39.9314_9.6629.json,custom
39.926791,9.661808,ov_palestra_kinesis_c_a_m__39.9268_9.6618,Palestra Kinesis C.A.M.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/palestra_kinesis_cam_39.9268_9.6618.json,custom
39.923680,9.654430,ov_academy_dance_39.9237_9.6544,Academy Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/academy_dance_39.9237_9.6544.json,custom
39.968190,9.664088,ov_maneggio_pastrengo___tortol__39.9682_9.6641,Maneggio Pastrengo - Tortolì,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/maneggio_pastrengo_-_tortol_39.9682_9.6641.json,custom
39.939207,9.709489,ov_rocce_rosse_39.9392_9.7095,Rocce Rosse,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/rocce_rosse_39.9392_9.7095.json,custom
39.938758,9.708906,ov_scogli_rossi_arbatax_39.9388_9.7089,Scogli Rossi Arbatax,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/scogli_rossi_arbatax_39.9388_9.7089.json,custom
39.933310,9.702470,ov_mud_museo_diffuso_arbatax_39.9333_9.7025,MUD museo diffuso Arbatax,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/mud_museo_diffuso_arbatax_39.9333_9.7025.json,custom
39.927339,9.658057,ov_biblioteca_comunale_di_tortol__39.9273_9.6581,Biblioteca Comunale di Tortolì,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/biblioteca_comunale_di_tortol_39.9273_9.6581.json,custom
