# lat,lng,id,name,building_type,type,url,page_type
# mondragone -- Tutti
41.114572,13.880644,ov_cafe_do_mar_41.1146_13.8806,Cafe do Mar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/cafe_do_mar_41.1146_13.8806.json,custom
41.114417,13.879987,ov_pizzeria_frijenno_frijenno_41.1144_13.8800,Pizzeria Frijenno Frijenno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_frijenno_frijenno_41.1144_13.8800.json,custom
41.114676,13.881639,ov_pizza_a_taglio_da_bitter_41.1147_13.8816,Pizza A Taglio Da Bitter,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizza_a_taglio_da_bitter_41.1147_13.8816.json,custom
41.114584,13.885743,ov_margheri_41.1146_13.8857,Margheri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/margheri_41.1146_13.8857.json,custom
41.115444,13.888253,ov_il_portico_41.1154_13.8883,Il Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/il_portico_41.1154_13.8883.json,custom
41.116189,13.888303,ov_dekanto___tasting_experience_41.1162_13.8883,Dekanto - Tasting Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/dekanto_-_tasting_experience_41.1162_13.8883.json,custom
41.115955,13.888247,ov_pizzeria_rustica_da_pasquale_41.1160_13.8882,Pizzeria Rustica da Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_rustica_da_pasquale_41.1160_13.8882.json,custom
41.116460,13.888173,ov_a_tutta_pizza_41.1165_13.8882,A Tutta Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/a_tutta_pizza_41.1165_13.8882.json,custom
41.112698,13.891524,ov_pizzeria_royal_pizza_41.1127_13.8915,Pizzeria Royal Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_royal_pizza_41.1127_13.8915.json,custom
41.114291,13.890417,ov_mastro_pizza_41.1143_13.8904,Mastro pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/mastro_pizza_41.1143_13.8904.json,custom
41.114294,13.890406,ov_pizzeria_ale_22_41.1143_13.8904,Pizzeria Ale 22,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_ale_22_41.1143_13.8904.json,custom
41.114556,13.886885,ov_la_passione_per_il_gusto_41.1146_13.8869,La Passione per il Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/la_passione_per_il_gusto_41.1146_13.8869.json,custom
41.111122,13.891820,ov_pizzataxi_mazzarella_41.1111_13.8918,PizzaTaxi Mazzarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzataxi_mazzarella_41.1111_13.8918.json,custom
41.110636,13.891512,ov_pizza_al_taglio_sorrentino_41.1106_13.8915,Pizza al taglio Sorrentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizza_al_taglio_sorrentino_41.1106_13.8915.json,custom
41.113032,13.893823,ov_famo_pizza_41.1130_13.8938,Famo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/famo_pizza_41.1130_13.8938.json,custom
41.114494,13.905941,ov_pizzadoc_di_feola_giuseppe_dal_1986_41.1145_13.9059,PizzaDoc di Feola Giuseppe dal 1986,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzadoc_di_feola_giuseppe_dal_1986_41.1145_13.9059.json,custom
