# lat,lng,id,name,building_type,type,url,page_type
# vigonza -- Tutti
45.426775,11.974318,ov_istituti_clinici_scientifici_maugeri_45.4268_11.9743,Istituti Clinici Scientifici Maugeri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/istituti_clinici_scientifici_maugeri_45.4268_11.9743.json,custom
45.437251,11.948026,ov_sport_college_45.4373_11.9480,Sport College,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/sport_college_45.4373_11.9480.json,custom
45.436093,11.956211,ov_non_solo_danza_45.4361_11.9562,Non Solo Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/non_solo_danza_45.4361_11.9562.json,custom
45.437640,11.964067,ov_piscina_comunale_a_s_d__nuoto_vigonza_45.4376_11.9641,Piscina Comunale A.s.d. Nuoto Vigonza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/piscina_comunale_asd_nuoto_vigonza_45.4376_11.9641.json,custom
45.439157,12.012561,ov_asd_il_cavallo_e_vita_45.4392_12.0126,Asd il Cavallo E Vita,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/asd_il_cavallo_e_vita_45.4392_12.0126.json,custom
45.446755,11.987173,ov_hopa_dance_studio_45.4468_11.9872,Hopa Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/hopa_dance_studio_45.4468_11.9872.json,custom
45.445563,11.960313,ov_pesca_sportiva_lago_azzurro_45.4456_11.9603,Pesca Sportiva Lago Azzurro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pesca_sportiva_lago_azzurro_45.4456_11.9603.json,custom
45.444790,11.960670,ov_muevelo_fitness_dance_45.4448_11.9607,Muevelo Fitness Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/muevelo_fitness_dance_45.4448_11.9607.json,custom
45.444661,11.960596,ov_ballet_school_pigot_45.4447_11.9606,Ballet School Pigot,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/ballet_school_pigot_45.4447_11.9606.json,custom
45.466312,11.843628,ov_pleiadi_science_farmer_45.4663_11.8436,PLEIADI Science Farmer,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pleiadi_science_farmer_45.4663_11.8436.json,custom
45.473241,11.946425,ov_presepio_vivente_di_codiverno_45.4732_11.9464,Presepio Vivente di Codiverno,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/presepio_vivente_di_codiverno_45.4732_11.9464.json,custom
45.441935,11.963788,ov_biblioteca_comunale_di_vigonza_45.4419_11.9638,Biblioteca Comunale di Vigonza,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/biblioteca_comunale_di_vigonza_45.4419_11.9638.json,custom
45.706427,9.038122,ov_spumador_45.7064_9.0381,Spumador,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/spumador_45.7064_9.0381.json,custom
