# lat,lng,id,name,building_type,type,url,page_type
# Bernalda -- Tutti
40.413355,16.690436,ov_merceria_l_ago_incantato_40.4134_16.6904,Merceria L'ago Incantato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/merceria_lago_incantato_40.4134_16.6904.json,custom
40.413211,16.691166,ov_bar_2000_40.4132_16.6912,Bar 2000,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/bar_2000_40.4132_16.6912.json,custom
40.408391,16.687742,ov_azimut_cafe_40.4084_16.6877,Azimut Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/azimut_cafe_40.4084_16.6877.json,custom
40.408279,16.688303,ov_memphis_pub_40.4083_16.6883,Memphis Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/memphis_pub_40.4083_16.6883.json,custom
40.408158,16.687554,ov_sciumekafe_40.4082_16.6876,Sciumekafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/sciumekafe_40.4082_16.6876.json,custom
40.408020,16.687470,ov_barcollo_40.4080_16.6875,BarCollo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/barcollo_40.4080_16.6875.json,custom
40.408898,16.688216,ov_bar_fuor_di_sesto_40.4089_16.6882,Bar Fuor Di Sesto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/bar_fuor_di_sesto_40.4089_16.6882.json,custom
40.409314,16.689038,ov_torrefazione_caffe_lucano_40.4093_16.6890,Torrefazione Caffe Lucano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/torrefazione_caffe_lucano_40.4093_16.6890.json,custom
40.409273,16.688488,ov_caff__turco_40.4093_16.6885,Caffè Turco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/caff_turco_40.4093_16.6885.json,custom
40.407704,16.686998,ov_il_chioschetto_bar_rosticceria_40.4077_16.6870,Il Chioschetto Bar Rosticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/il_chioschetto_bar_rosticceria_40.4077_16.6870.json,custom
40.407417,16.687091,ov_cinecitta_bar_bistrot_40.4074_16.6871,Cinecitta Bar Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/cinecitta_bar_bistrot_40.4074_16.6871.json,custom
40.419904,16.676904,ov_bar___benzina_da_megal_40.4199_16.6769,Bar - Benzina da Megal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/bar_-_benzina_da_megal_40.4199_16.6769.json,custom
40.407742,16.785968,ov_golf_club_metaponto_40.4077_16.7860,Golf Club Metaponto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/golf_club_metaponto_40.4077_16.7860.json,custom
40.360955,16.837569,ov_nautilus_circolo_polisportivo_ssd_40.3610_16.8376,Nautilus circolo polisportivo ssd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/nautilus_circolo_polisportivo_ssd_40.3610_16.8376.json,custom
40.393429,16.799831,ov_touchdown_bowling_metaponto_40.3934_16.7998,Touchdown Bowling Metaponto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/touchdown_bowling_metaponto_40.3934_16.7998.json,custom
