# lat,lng,id,name,building_type,type,url,page_type
# Cairo Montenotte -- Tutti
44.398708,8.275523,ov_casa_del_caffe_44.3987_8.2755,Casa Del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/casa_del_caffe_44.3987_8.2755.json,custom
44.398927,8.275633,ov_regio_44.3989_8.2756,Regio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/regio_44.3989_8.2756.json,custom
44.398938,8.276332,ov_al_78_cafe_bistrot_44.3989_8.2763,AL 78 Cafe Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/al_78_cafe_bistrot_44.3989_8.2763.json,custom
44.399255,8.275529,ov_l_intruglio_44.3993_8.2755,L'Intruglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/lintruglio_44.3993_8.2755.json,custom
44.399193,8.274153,ov_montenotte___bar___gelateria_44.3992_8.2742,Montenotte - Bar & Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/montenotte_-_bar_gelateria_44.3992_8.2742.json,custom
44.399575,8.273073,ov_bar_bologna_44.3996_8.2731,Bar Bologna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bar_bologna_44.3996_8.2731.json,custom
44.399592,8.275535,ov_a_cantinetta_enoteca_44.3996_8.2755,A Cantinetta enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/a_cantinetta_enoteca_44.3996_8.2755.json,custom
44.400033,8.274659,ov_ginger_bar_44.4000_8.2747,Ginger Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ginger_bar_44.4000_8.2747.json,custom
44.400049,8.274560,ov_caffetteria_del_corso_44.4000_8.2746,Caffetteria del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/caffetteria_del_corso_44.4000_8.2746.json,custom
44.400820,8.276200,ov_joker_bar_44.4008_8.2762,Joker bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/joker_bar_44.4008_8.2762.json,custom
44.401366,8.270860,ov_nuovo_piccolo_bar_44.4014_8.2709,Nuovo Piccolo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/nuovo_piccolo_bar_44.4014_8.2709.json,custom
44.402654,8.269043,ov_bar_charly_44.4027_8.2690,Bar Charly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bar_charly_44.4027_8.2690.json,custom
44.402710,8.269027,ov_la_madia_44.4027_8.2690,La Madia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/la_madia_44.4027_8.2690.json,custom
44.403619,8.269156,ov_divino_locale_cairo_44.4036_8.2692,DiVino Locale Cairo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/divino_locale_cairo_44.4036_8.2692.json,custom
44.404010,8.265855,ov_stirling_castle_44.4040_8.2659,Stirling Castle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/stirling_castle_44.4040_8.2659.json,custom
44.412947,8.274905,ov_birrificio_folk_44.4129_8.2749,Birrificio Folk,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/birrificio_folk_44.4129_8.2749.json,custom
44.403613,8.285612,ov_milk___coffee_44.4036_8.2856,Milk & Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/milk_coffee_44.4036_8.2856.json,custom
44.398889,8.279279,ov_caffe_61_44.3989_8.2793,Caffe 61,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/caffe_61_44.3989_8.2793.json,custom
44.397106,8.277353,ov_fuoriporta_cafe_44.3971_8.2774,Fuoriporta Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/fuoriporta_cafe_44.3971_8.2774.json,custom
44.386491,8.280760,ov_cairo_montenotte_44.3865_8.2808,Cairo montenotte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/cairo_montenotte_44.3865_8.2808.json,custom
44.391630,8.282001,ov_palestra_asd_zodiacpalestre_44.3916_8.2820,Palestra ASD ZodiacPalestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/palestra_asd_zodiacpalestre_44.3916_8.2820.json,custom
44.432012,8.302404,ov_athena_gym_di_ballocco_l__44.4320_8.3024,Athena Gym Di Ballocco L.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/athena_gym_di_ballocco_l_44.4320_8.3024.json,custom
44.428178,8.294055,ov_scuderia_ponte_romano_44.4282_8.2941,Scuderia Ponte Romano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/scuderia_ponte_romano_44.4282_8.2941.json,custom
44.413636,8.275853,ov_asd_caprini_boxing_club_valbormida_44.4136_8.2759,ASD Caprini Boxing Club Valbormida,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/asd_caprini_boxing_club_valbormida_44.4136_8.2759.json,custom
44.406067,8.262814,ov_club_ippico_cairese_44.4061_8.2628,Club Ippico Cairese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/club_ippico_cairese_44.4061_8.2628.json,custom
44.405021,8.283539,ov_palazzetto_dello_sport_44.4050_8.2835,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/palazzetto_dello_sport_44.4050_8.2835.json,custom
44.405675,8.283763,ov_iron_gym_s_s_d__44.4057_8.2838,Iron Gym S.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/iron_gym_ssd_44.4057_8.2838.json,custom
44.403973,8.282777,ov_stadio_brin_44.4040_8.2828,Stadio Brin,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/stadio_brin_44.4040_8.2828.json,custom
44.397899,8.277432,ov_a_s_d__la_danza___44.3979_8.2774,A.S.D. La danza è,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/asd_la_danza__44.3979_8.2774.json,custom
44.231521,9.577030,ov_centro_equestre_framura_44.2315_9.5770,Centro Equestre Framura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/centro_equestre_framura_44.2315_9.5770.json,custom
44.356716,8.317054,ov_ferrania_heritage_44.3567_8.3171,Ferrania Heritage,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ferrania_heritage_44.3567_8.3171.json,custom
44.376450,8.295980,ov_bragno_museum_44.3764_8.2960,Bragno Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bragno_museum_44.3764_8.2960.json,custom
44.421517,8.299210,ov_castello_di_rocchetta_cairo_44.4215_8.2992,Castello di Rocchetta Cairo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/castello_di_rocchetta_cairo_44.4215_8.2992.json,custom
44.396787,8.274654,ov_castello_di_cairo_montenotte_44.3968_8.2747,Castello di Cairo Montenotte,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/castello_di_cairo_montenotte_44.3968_8.2747.json,custom
44.397348,8.276887,ov_castello_medioevale_44.3973_8.2769,Castello medioevale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/castello_medioevale_44.3973_8.2769.json,custom
44.397665,8.275225,ov_palazzo_scarampi_44.3977_8.2752,Palazzo Scarampi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/palazzo_scarampi_44.3977_8.2752.json,custom
44.397779,8.275264,ov_ferrania_film_museum_44.3978_8.2753,Ferrania Film Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ferrania_film_museum_44.3978_8.2753.json,custom
44.440625,8.304304,ov_biblioteca_comunale_rocchetta_cairo_44.4406_8.3043,Biblioteca Comunale Rocchetta Cairo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/biblioteca_comunale_rocchetta_cairo_44.4406_8.3043.json,custom
44.397734,8.275313,ov_biblioteca_44.3977_8.2753,Biblioteca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/biblioteca_44.3977_8.2753.json,custom
44.397730,8.275089,osm_biblioteca_civica_f_c__rossi_44.3977_8.2751,Biblioteca Civica F.C. Rossi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/biblioteca_civica_fc_rossi_44.3977_8.2751.json,custom
