# lat,lng,id,name,building_type,type,url,page_type
# assemini -- Tutti
39.287262,9.013933,ov_progetto_crescere_39.2873_9.0139,Progetto Crescere,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/progetto_crescere_39.2873_9.0139.json,custom
39.292507,9.009475,ov_you_li_tai_kung_fu_39.2925_9.0095,You Li Tai Kung Fu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/you_li_tai_kung_fu_39.2925_9.0095.json,custom
39.293289,9.007161,ov_impianto_sportivo_coghinas_39.2933_9.0072,Impianto Sportivo Coghinas,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/impianto_sportivo_coghinas_39.2933_9.0072.json,custom
39.287229,9.006726,ov_ghiani_b_boxe_assemini_39.2872_9.0067,Ghiani B BOXE Assemini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/ghiani_b_boxe_assemini_39.2872_9.0067.json,custom
39.285410,9.006572,ov_jump_39.2854_9.0066,Jump,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/jump_39.2854_9.0066.json,custom
39.284999,9.011002,ov_asd_hundred_39.2850_9.0110,Asd Hundred,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/asd_hundred_39.2850_9.0110.json,custom
39.284022,9.011543,ov_aloha_dance__scuola_di_danza_39.2840_9.0115,Aloha Dance- Scuola di danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/aloha_dance-_scuola_di_danza_39.2840_9.0115.json,custom
39.290235,8.998364,ov_asd_hundred_39.2902_8.9984,Asd Hundred,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/asd_hundred_39.2902_8.9984.json,custom
39.286060,9.013461,ov_angy_village_39.2861_9.0135,Angy Village,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/angy_village_39.2861_9.0135.json,custom
39.286408,9.017948,ov_centro_sportivo_cdm_39.2864_9.0179,Centro Sportivo CDM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/centro_sportivo_cdm_39.2864_9.0179.json,custom
39.281580,9.022817,ov_new_magic_form_39.2816_9.0228,New Magic Form,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/new_magic_form_39.2816_9.0228.json,custom
39.281353,9.022755,ov_asd_aloha_dance_and_fitness_39.2814_9.0228,ASD Aloha Dance And Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/asd_aloha_dance_and_fitness_39.2814_9.0228.json,custom
39.280407,9.020136,ov_eden_biliardo_39.2804_9.0201,Eden biliardo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/eden_biliardo_39.2804_9.0201.json,custom
39.280290,9.020216,ov_calisthenics_assemini_asd_39.2803_9.0202,Calisthenics Assemini ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/calisthenics_assemini_asd_39.2803_9.0202.json,custom
39.287583,9.004678,ov_sistema_bibliotecario_bibliomedia__39.2876_9.0047,Sistema Bibliotecario Bibliomedia.,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/sistema_bibliotecario_bibliomedia_39.2876_9.0047.json,custom
39.287583,9.004678,ov_biblioteca_comunale_39.2876_9.0047,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/biblioteca_comunale_39.2876_9.0047.json,custom
