# lat,lng,id,name,building_type,type,url,page_type
# santa_flavia -- Tutti
38.092858,13.539643,ov_il_melangolo___associazione_culturale_pe_38.0929_13.5396,Il Melangolo - Associazione Culturale per l'Arte e la Gastro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/il_melangolo_-_associazione_culturale_pe_38.0929_13.5396.json,custom
38.092495,13.540845,ov_antica_pizzeria_la_punta_38.0925_13.5408,Antica Pizzeria La Punta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/antica_pizzeria_la_punta_38.0925_13.5408.json,custom
38.093612,13.538306,ov_hollywood_pizzeria_ristorante_38.0936_13.5383,Hollywood Pizzeria-Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/hollywood_pizzeria-ristorante_38.0936_13.5383.json,custom
38.095949,13.535670,ov_pizzeria_spizzuliamu_38.0959_13.5357,Pizzeria Spizzuliamu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/pizzeria_spizzuliamu_38.0959_13.5357.json,custom
38.095723,13.538614,ov_o_chiano_38.0957_13.5386,O Chiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/o_chiano_38.0957_13.5386.json,custom
38.096464,13.538829,ov_l_amuri_sant_elia_38.0965_13.5388,L'Amuri Sant'Elia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/lamuri_santelia_38.0965_13.5388.json,custom
38.097225,13.534252,ov_can_caus_38.0972_13.5343,Can Caus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/can_caus_38.0972_13.5343.json,custom
38.077915,13.506463,ov_la_terrazza_38.0779_13.5065,La Terrazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/la_terrazza_38.0779_13.5065.json,custom
38.075989,13.541609,ov_tasmania_cocktail_38.0760_13.5416,Tasmania Cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/tasmania_cocktail_38.0760_13.5416.json,custom
38.081220,13.529581,ov_villa_torremuzza_38.0812_13.5296,Villa Torremuzza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/villa_torremuzza_38.0812_13.5296.json,custom
38.081984,13.526267,ov_drinko_and_food_38.0820_13.5263,Drinko and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/drinko_and_food_38.0820_13.5263.json,custom
38.082240,13.527620,ov_bar_sciusci__38.0822_13.5276,Bar Sciusciù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/bar_sciusci_38.0822_13.5276.json,custom
38.082239,13.526541,ov_lima_cafe_38.0822_13.5265,Lima Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/lima_cafe_38.0822_13.5265.json,custom
38.083066,13.529657,ov_babilonia_pub_38.0831_13.5297,Babilonia Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/babilonia_pub_38.0831_13.5297.json,custom
38.083025,13.529597,ov_internet_point_38.0830_13.5296,Internet Point,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/internet_point_38.0830_13.5296.json,custom
38.084836,13.531992,ov_caf__solunto_38.0848_13.5320,Café Solunto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/caf_solunto_38.0848_13.5320.json,custom
38.085784,13.534199,ov_avenue_s_bar_38.0858_13.5342,Avenue's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/avenues_bar_38.0858_13.5342.json,custom
38.085977,13.538764,ov_tosto_chiosco_38.0860_13.5388,Tosto Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/tosto_chiosco_38.0860_13.5388.json,custom
38.086296,13.534722,ov_lavinia_bar_38.0863_13.5347,Lavinia Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/lavinia_bar_38.0863_13.5347.json,custom
38.086122,13.535045,ov_asp__caf__38.0861_13.5350,Aspé Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/asp_caf_38.0861_13.5350.json,custom
38.090047,13.539552,ov_il_veliero_38.0900_13.5396,Il veliero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/il_veliero_38.0900_13.5396.json,custom
38.089838,13.539388,ov_ristorante_pizzeria_meeting_38.0898_13.5394,Ristorante Pizzeria Meeting,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/ristorante_pizzeria_meeting_38.0898_13.5394.json,custom
38.090388,13.539144,ov_kalos_38.0904_13.5391,Kalos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/kalos_38.0904_13.5391.json,custom
38.092351,13.540718,ov_baia_santa_nicolicchia_38.0924_13.5407,BAIA Santa Nicolicchia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/baia_santa_nicolicchia_38.0924_13.5407.json,custom
38.095330,13.538610,ov_chiosco_da_peppino_38.0953_13.5386,Chiosco Da Peppino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/chiosco_da_peppino_38.0953_13.5386.json,custom
38.096020,13.539068,ov_chiosco_il_nodo_38.0960_13.5391,Chiosco Il Nodo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/chiosco_il_nodo_38.0960_13.5391.json,custom
38.095825,13.539041,ov_tropical_beach_38.0958_13.5390,Tropical Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/tropical_beach_38.0958_13.5390.json,custom
38.066960,13.536100,ov_summer_camp_2026_38.0670_13.5361,Summer Camp 2026,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/summer_camp_2026_38.0670_13.5361.json,custom
38.082505,13.522841,ov_sporting_club_38.0825_13.5228,Sporting Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/sporting_club_38.0825_13.5228.json,custom
38.087847,13.539221,ov_sicilia_sub_diving_center_38.0878_13.5392,Sicilia Sub Diving Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/sicilia_sub_diving_center_38.0878_13.5392.json,custom
38.093713,13.537658,ov_evolution_diver_a_s_d__scuola_subacquea__38.0937_13.5377,Evolution Diver a.s.d. Scuola Subacquea e Diving Center Mare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/evolution_diver_asd_scuola_subacquea_e_d_38.0937_13.5377.json,custom
38.092541,13.540816,ov_little_free_library_porticello_38.0925_13.5408,Little Free Library Porticello,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santa_flavia/pages/little_free_library_porticello_38.0925_13.5408.json,custom
