# lat,lng,id,name,building_type,type,url,page_type
# San Giuliano Terme -- Tutti
43.762440,10.436548,ov_studio_fisioterapico_ferrara_43.7624_10.4365,Studio Fisioterapico Ferrara,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/studio_fisioterapico_ferrara_43.7624_10.4365.json,custom
43.723420,10.433548,ov_centro_yoga_shree_herakhan_baba_43.7234_10.4335,Centro Yoga Shree Herakhan Baba,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/centro_yoga_shree_herakhan_baba_43.7234_10.4335.json,custom
43.723363,10.435450,ov_il_biliardo_43.7234_10.4354,Il Biliardo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/il_biliardo_43.7234_10.4354.json,custom
43.721906,10.421953,ov_palestra_popolare_la_fontina_43.7219_10.4220,Palestra Popolare La Fontina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/palestra_popolare_la_fontina_43.7219_10.4220.json,custom
43.723666,10.433048,ov_formazione_danza_43.7237_10.4330,Formazione Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/formazione_danza_43.7237_10.4330.json,custom
43.724898,10.420137,ov_tennistavolo_pisa_scuola_nazionale_acsi_43.7249_10.4201,TennisTavolo Pisa Scuola Nazionale ACSI,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/tennistavolo_pisa_scuola_nazionale_acsi_43.7249_10.4201.json,custom
43.725623,10.419439,ov_slide_dance_studio_a_s_d__43.7256_10.4194,Slide Dance Studio a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/slide_dance_studio_asd_43.7256_10.4194.json,custom
43.725460,10.418855,ov_aquarius_fitness_center_43.7255_10.4189,Aquarius Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/aquarius_fitness_center_43.7255_10.4189.json,custom
43.725358,10.418877,ov_eterea___aerial___arts_studio_43.7254_10.4189,Eterea - Aerial & Arts Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/eterea_-_aerial_arts_studio_43.7254_10.4189.json,custom
43.725430,10.419317,ov_master_club_calciobalilla_43.7254_10.4193,Master Club Calciobalilla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/master_club_calciobalilla_43.7254_10.4193.json,custom
43.725022,10.418911,ov_pasito_pa_lante___pisa_43.7250_10.4189,Pasito Pa'lante - Pisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/pasito_palante_-_pisa_43.7250_10.4189.json,custom
43.724856,10.418629,ov_crossfit_woodwork_43.7249_10.4186,CrossFit Woodwork,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/crossfit_woodwork_43.7249_10.4186.json,custom
43.711056,10.480600,ov_arci_casa_del_popolo_campo_43.7111_10.4806,ARCI Casa Del Popolo Campo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/arci_casa_del_popolo_campo_43.7111_10.4806.json,custom
43.710193,10.503896,ov_ego_fitness_club_43.7102_10.5039,Ego Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ego_fitness_club_43.7102_10.5039.json,custom
43.719200,10.469755,ov_move_in_joy_43.7192_10.4698,Move in joy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/move_in_joy_43.7192_10.4698.json,custom
43.746056,10.462269,ov_crine_bianco_asd_43.7461_10.4623,Crine Bianco ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/crine_bianco_asd_43.7461_10.4623.json,custom
43.746742,10.462826,ov_centro_sub_pisa_20_20_43.7467_10.4628,Centro Sub Pisa 20.20,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/centro_sub_pisa_2020_43.7467_10.4628.json,custom
43.770408,10.375335,ov_palametato_43.7704_10.3753,PalaMetato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/palametato_43.7704_10.3753.json,custom
43.765138,10.375074,ov_centro_ippico_pisano_43.7651_10.3751,Centro Ippico Pisano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/centro_ippico_pisano_43.7651_10.3751.json,custom
43.764891,10.375719,ov_centro_ippico_equus_asd_43.7649_10.3757,Centro ippico Equus ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/centro_ippico_equus_asd_43.7649_10.3757.json,custom
43.764253,10.410582,ov_new_life_gym_43.7643_10.4106,New Life Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/new_life_gym_43.7643_10.4106.json,custom
43.765277,10.435953,ov_new_aurora_dance_pisa_43.7653_10.4360,New Aurora Dance Pisa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/new_aurora_dance_pisa_43.7653_10.4360.json,custom
43.761056,10.441813,ov_atelier_del_movimento_43.7611_10.4418,Atelier del Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/atelier_del_movimento_43.7611_10.4418.json,custom
43.759700,10.437734,ov_ciclone_latino_43.7597_10.4377,Ciclone Latino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/ciclone_latino_43.7597_10.4377.json,custom
43.758481,10.439308,ov_impianti_sportivi_giovanni_bui_43.7585_10.4393,Impianti sportivi Giovanni Bui,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/impianti_sportivi_giovanni_bui_43.7585_10.4393.json,custom
43.752302,10.441008,ov_piscina_termale_per_cavalli_43.7523_10.4410,Piscina Termale per Cavalli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/piscina_termale_per_cavalli_43.7523_10.4410.json,custom
43.743330,10.402240,ov_asd_artistica_pontasserchio_43.7433_10.4022,ASD Artistica Pontasserchio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/asd_artistica_pontasserchio_43.7433_10.4022.json,custom
43.743936,10.368902,ov_danza_con_me_43.7439_10.3689,Danza con Me,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/danza_con_me_43.7439_10.3689.json,custom
43.758934,10.354627,ov_club_ippico_asd_planet_horse_43.7589_10.3546,Club Ippico ASD Planet Horse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/club_ippico_asd_planet_horse_43.7589_10.3546.json,custom
43.756754,10.345715,ov_gz_team_43.7568_10.3457,GZ Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/gz_team_43.7568_10.3457.json,custom
43.779928,10.399579,ov_petite_danseuse_43.7799_10.3996,Petite Danseuse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/petite_danseuse_43.7799_10.3996.json,custom
43.761108,10.442039,osm_papillon_43.7611_10.4420,Papillon,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/papillon_43.7611_10.4420.json,custom
43.725760,10.445410,ov_acquedotto_mediceo_43.7258_10.4454,Acquedotto Mediceo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/acquedotto_mediceo_43.7258_10.4454.json,custom
43.733011,10.484046,ov_passo_del_frantoio_43.7330_10.4840,Passo del Frantoio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/passo_del_frantoio_43.7330_10.4840.json,custom
43.754590,10.482017,ov_santa_maria_di_mirteto_43.7546_10.4820,Santa Maria di Mirteto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/santa_maria_di_mirteto_43.7546_10.4820.json,custom
43.762187,10.438690,osm_poste_italiane_43.7622_10.4387,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/poste_italiane_43.7622_10.4387.json,custom
43.725849,10.419304,ov_library_franco_serantini_43.7258_10.4193,Library Franco Serantini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/library_franco_serantini_43.7258_10.4193.json,custom
43.763649,10.443142,ov_biblioteca_comunale_u__martini_43.7636_10.4431,Biblioteca Comunale U. Martini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/biblioteca_comunale_u_martini_43.7636_10.4431.json,custom
43.762574,10.436448,ov_amplifon_via_martin_luther_king__san_giu_43.7626_10.4364,"Amplifon Via Martin Luther King, San Giuliano Terme",LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/amplifon_via_martin_luther_king_san_giul_43.7626_10.4364.json,custom
43.778333,10.401367,osm_biblioteca_dell_istituto_comprensivo_ger_43.7783_10.4014,Biblioteca dell'Istituto comprensivo Gereschi di Pontasserch,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/biblioteca_dellistituto_comprensivo_gere_43.7783_10.4014.json,custom
43.760285,10.389151,osm_biblioteca_san_giuseppe_custos_verbi_43.7603_10.3892,Biblioteca San Giuseppe Custos Verbi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/san_giuliano_terme/pages/biblioteca_san_giuseppe_custos_verbi_43.7603_10.3892.json,custom
