# lat,lng,id,name,building_type,type,url,page_type
# Mezzolombardo -- Tutti
46.211904,11.090065,ov_caf__liston_46.2119_11.0901,Cafè Liston,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/caf_liston_46.2119_11.0901.json,custom
46.211780,11.090010,ov_mezzolombardo_46.2118_11.0900,mezzolombardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/mezzolombardo_46.2118_11.0900.json,custom
46.210887,11.091243,ov_bar_titti_46.2109_11.0912,Bar Titti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_titti_46.2109_11.0912.json,custom
46.211596,11.092845,ov_j_d__bar_46.2116_11.0928,J.D. Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/jd_bar_46.2116_11.0928.json,custom
46.208900,11.093860,ov_bar_braide_46.2089_11.0939,Bar Braide,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_braide_46.2089_11.0939.json,custom
46.212878,11.092491,osm_bar_mirtillo_46.2129_11.0925,Bar Mirtillo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_mirtillo_46.2129_11.0925.json,custom
46.213451,11.093375,osm_bar_giulia_46.2135_11.0934,Bar Giulia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_giulia_46.2135_11.0934.json,custom
46.211983,11.089716,osm_liston_46.2120_11.0897,Liston,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/liston_46.2120_11.0897.json,custom
46.211165,11.090545,osm_caff__mazzini_46.2112_11.0905,Caffè Mazzini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/caff_mazzini_46.2112_11.0905.json,custom
46.212314,11.091564,osm_casa_del_caff__46.2123_11.0916,Casa del Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/casa_del_caff_46.2123_11.0916.json,custom
46.211635,11.090863,osm_caff__dna_46.2116_11.0909,Caffè DNA,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/caff_dna_46.2116_11.0909.json,custom
46.213250,11.090000,osm_bar_posta_46.2133_11.0900,Bar Posta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_posta_46.2133_11.0900.json,custom
46.213114,11.091195,osm_lady_bar_46.2131_11.0912,Lady Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/lady_bar_46.2131_11.0912.json,custom
46.214348,11.091611,osm_bar_del_corso_46.2143_11.0916,Bar del Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_del_corso_46.2143_11.0916.json,custom
46.213908,11.090224,osm_il_bar_sport_46.2139_11.0902,Il Bar Sport,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/il_bar_sport_46.2139_11.0902.json,custom
46.211819,11.094288,osm_bar_mary_46.2118_11.0943,Bar Mary,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bar_mary_46.2118_11.0943.json,custom
46.208909,11.102578,osm_center_bar_46.2089_11.1026,Center Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/center_bar_46.2089_11.1026.json,custom
46.207394,11.099806,osm_braide_s_bar_46.2074_11.0998,Braide’s bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/braides_bar_46.2074_11.0998.json,custom
46.209869,11.094387,osm_le_rodelle_46.2099_11.0944,Le Rodelle,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/le_rodelle_46.2099_11.0944.json,custom
46.212990,11.089559,osm_bistrot_al_corso_46.2130_11.0896,Bistrot Al Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/bistrot_al_corso_46.2130_11.0896.json,custom
46.211789,11.097822,ov_centro_danza_tersicore_46.2118_11.0978,Centro Danza Tersicore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/centro_danza_tersicore_46.2118_11.0978.json,custom
