# lat,lng,id,name,building_type,type,url,page_type
# Campi Bisenzio -- Tutti
43.820153,11.142858,osm_azienda_usl_toscana_centro___distretto_c_43.8202_11.1429,Azienda USL Toscana centro - distretto Campi Bisenzio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/azienda_usl_toscana_centro_-_distretto_c_43.8202_11.1429.json,custom
43.820277,11.141682,ov_caffe_pasticceria_ballerini_43.8203_11.1417,Caffe Pasticceria Ballerini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caffe_pasticceria_ballerini_43.8203_11.1417.json,custom
43.821052,11.141985,ov_club_waid_43.8211_11.1420,Club waid,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/club_waid_43.8211_11.1420.json,custom
43.818986,11.144449,ov_enoteca_bar_rolando_43.8190_11.1444,Enoteca Bar Rolando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/enoteca_bar_rolando_43.8190_11.1444.json,custom
43.816485,11.140823,ov_bar_ercole_43.8165_11.1408,Bar Ercole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_ercole_43.8165_11.1408.json,custom
43.820577,11.139375,ov_bar_ristorante_scali_franco_43.8206_11.1394,Bar Ristorante Scali Franco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_ristorante_scali_franco_43.8206_11.1394.json,custom
43.820824,11.137839,ov_caffe_dante_43.8208_11.1378,Caffe Dante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caffe_dante_43.8208_11.1378.json,custom
43.822650,11.134060,ov_bar_gramsci_43.8227_11.1341,Bar Gramsci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_gramsci_43.8227_11.1341.json,custom
43.823232,11.138390,ov_bar_le_poste_43.8232_11.1384,Bar le poste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_le_poste_43.8232_11.1384.json,custom
43.821818,11.137883,ov_blu_bar_43.8218_11.1379,Blu bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/blu_bar_43.8218_11.1379.json,custom
43.822438,11.141297,ov_bar_2000_43.8224_11.1413,Bar 2000,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_2000_43.8224_11.1413.json,custom
43.826224,11.140767,ov_scrotone_43.8262_11.1408,Scrotone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/scrotone_43.8262_11.1408.json,custom
43.828390,11.129413,ov_bar_pasticceria_patrizia_43.8284_11.1294,Bar Pasticceria Patrizia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_pasticceria_patrizia_43.8284_11.1294.json,custom
43.826001,11.126212,ov_bar_la_curva___campi_bisenzio_43.8260_11.1262,Bar La Curva - Campi Bisenzio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_la_curva_-_campi_bisenzio_43.8260_11.1262.json,custom
43.826792,11.123957,ov_circolo_69_francesco_petrarca_43.8268_11.1240,Circolo 69 Francesco Petrarca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/circolo_69_francesco_petrarca_43.8268_11.1240.json,custom
43.822798,11.120437,ov_birrificio_mastrale_43.8228_11.1204,Birrificio Mastrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/birrificio_mastrale_43.8228_11.1204.json,custom
43.822375,11.123050,ov_bar_atlantic_43.8224_11.1230,Bar Atlantic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_atlantic_43.8224_11.1230.json,custom
43.823105,11.123067,ov_i_gottino_viola_43.8231_11.1231,I'gottino Viola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/igottino_viola_43.8231_11.1231.json,custom
43.821695,11.131221,ov_manit__caf__43.8217_11.1312,Manitú cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/manit_caf_43.8217_11.1312.json,custom
43.820400,11.129684,ov_alibi_lounge_bar_43.8204_11.1297,Alibi lounge bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/alibi_lounge_bar_43.8204_11.1297.json,custom
43.829833,11.131937,ov_della_robbia_edicola_bar_43.8298_11.1319,Della Robbia Edicola Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/della_robbia_edicola_bar_43.8298_11.1319.json,custom
43.837862,11.131017,ov_restart_caf__43.8379_11.1310,Restart cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/restart_caf_43.8379_11.1310.json,custom
43.842756,11.116579,ov_zafferano_bar_43.8428_11.1166,Zafferano BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/zafferano_bar_43.8428_11.1166.json,custom
43.852869,11.145271,ov_lounge_bar_43.8529_11.1453,Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/lounge_bar_43.8529_11.1453.json,custom
43.847043,11.143295,ov_fattorie_garofalo___firenze_c_c__i_gigli_43.8470_11.1433,FATTORIE GAROFALO - Firenze C.C. I Gigli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/fattorie_garofalo_-_firenze_cc_i_gigli_43.8470_11.1433.json,custom
43.845957,11.142932,ov_caff__pascucci_43.8460_11.1429,Caffè Pascucci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caff_pascucci_43.8460_11.1429.json,custom
43.846115,11.144228,ov_sant_ambrogio_bis_tr__ai_banchi___i_gigl_43.8461_11.1442,Sant’Ambrogio bis-trò ai banchi - i Gigli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/santambrogio_bis-tr_ai_banchi_-_i_gigli_43.8461_11.1442.json,custom
43.847260,11.143858,ov_da_saba_43.8473_11.1439,Da Saba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/da_saba_43.8473_11.1439.json,custom
43.852995,11.148743,ov_tuttobene_43.8530_11.1487,Tuttobene,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/tuttobene_43.8530_11.1487.json,custom
43.821751,11.135554,osm_caff__cantini_43.8218_11.1356,Caffé Cantini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caff_cantini_43.8218_11.1356.json,custom
43.825731,11.127781,osm_aran_island_irish_pub_43.8257_11.1278,Aran Island Irish Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/aran_island_irish_pub_43.8257_11.1278.json,custom
43.806382,11.125661,osm_circolo_mcl_il_gorinello_43.8064_11.1257,Circolo MCL il Gorinello,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/circolo_mcl_il_gorinello_43.8064_11.1257.json,custom
43.835769,11.129478,osm_bar_lanciotto_43.8358_11.1295,Bar Lanciotto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/bar_lanciotto_43.8358_11.1295.json,custom
43.831071,11.148713,osm_asmana_wellness_world_43.8311_11.1487,Asmana Wellness World,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/asmana_wellness_world_43.8311_11.1487.json,custom
43.847983,11.143279,osm_starbucks_43.8480_11.1433,Starbucks,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/starbucks_43.8480_11.1433.json,custom
43.797044,11.147929,ov_asd_associazione_le_primule_43.7970_11.1479,ASD Associazione Le Primule,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/asd_associazione_le_primule_43.7970_11.1479.json,custom
43.791060,11.148488,ov_my_sporting_campus_43.7911_11.1485,My Sporting Campus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/my_sporting_campus_43.7911_11.1485.json,custom
43.792333,11.144514,ov_le_chimere___rugby_toscana_43.7923_11.1445,Le Chimere - rugby Toscana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/le_chimere_-_rugby_toscana_43.7923_11.1445.json,custom
43.819502,11.142807,ov_amplifon_via_bruno_buozzi__campi_bisenzi_43.8195_11.1428,"Amplifon Via Bruno Buozzi, Campi Bisenzio",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/amplifon_via_bruno_buozzi_campi_bisenzio_43.8195_11.1428.json,custom
43.819034,11.142327,ov_studio_yoga_respiro_43.8190_11.1423,Studio Yoga Respiro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/studio_yoga_respiro_43.8190_11.1423.json,custom
43.817273,11.142400,ov_palestra_i_well_43.8173_11.1424,Palestra i Well,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/palestra_i_well_43.8173_11.1424.json,custom
43.818360,11.135850,ov_zodiac_palestre_43.8184_11.1358,Zodiac Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/zodiac_palestre_43.8184_11.1358.json,custom
43.821048,11.138407,ov_yoga_campi_di_sonia_squilloni_43.8210_11.1384,Yoga Campi di Sonia Squilloni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/yoga_campi_di_sonia_squilloni_43.8210_11.1384.json,custom
43.825449,11.127624,ov_motus_lab_43.8254_11.1276,Motus Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/motus_lab_43.8254_11.1276.json,custom
43.823895,11.122981,ov_boxe_campi_bisenzio_asd_43.8239_11.1230,Boxe Campi Bisenzio asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/boxe_campi_bisenzio_asd_43.8239_11.1230.json,custom
43.817094,11.121623,ov_campi_arena_43.8171_11.1216,Campi Arena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/campi_arena_43.8171_11.1216.json,custom
43.819908,11.124109,ov_atletica_campi_43.8199_11.1241,Atletica Campi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/atletica_campi_43.8199_11.1241.json,custom
43.834879,11.113989,ov_club_ippico_horses_ranch_43.8349_11.1140,Club Ippico Horses Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/club_ippico_horses_ranch_43.8349_11.1140.json,custom
43.831960,11.132043,ov_kurios_danza_43.8320_11.1320,Kurios Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/kurios_danza_43.8320_11.1320.json,custom
43.839064,11.129581,ov_caribe_swing_asd_43.8391_11.1296,Caribe Swing ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/caribe_swing_asd_43.8391_11.1296.json,custom
43.852934,11.145144,ov_palestra_gym_garage_43.8529_11.1451,Palestra Gym Garage,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/palestra_gym_garage_43.8529_11.1451.json,custom
43.818644,11.142775,ov_museo_manzi__campi_bisenzio_43.8186_11.1428,"Museo Manzi, Campi Bisenzio",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/museo_manzi_campi_bisenzio_43.8186_11.1428.json,custom
43.822848,11.134410,ov_museo_archeologico_di_gonfienti_43.8228_11.1344,Museo Archeologico di Gonfienti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/museo_archeologico_di_gonfienti_43.8228_11.1344.json,custom
43.823779,11.131083,ov_fiesolilandia_43.8238_11.1311,Fiesolilandia,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/fiesolilandia_43.8238_11.1311.json,custom
43.835667,11.131084,osm_poste_italiane_43.8357_11.1311,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/poste_italiane_43.8357_11.1311.json,custom
43.828513,11.140840,ov_biblioteca_comunale_43.8285_11.1408,Biblioteca comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/biblioteca_comunale_43.8285_11.1408.json,custom
43.841331,11.150916,osm_biblioteca_delle_officine_galileo_43.8413_11.1509,Biblioteca delle Officine Galileo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/biblioteca_delle_officine_galileo_43.8413_11.1509.json,custom
43.828782,11.141030,osm_biblioteca_del_teatro_regionale_toscano_43.8288_11.1410,Biblioteca del Teatro regionale toscano,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/biblioteca_del_teatro_regionale_toscano_43.8288_11.1410.json,custom
43.828644,11.140887,osm_biblioteca_tiziano_terzani_villa_montalv_43.8286_11.1409,Biblioteca Tiziano Terzani Villa Montalvo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/biblioteca_tiziano_terzani_villa_montalv_43.8286_11.1409.json,custom
