# lat,lng,id,name,building_type,type,url,page_type
# Ciriè -- Tutti
45.231384,7.593397,ov_bar_maver_anna_maria_di_labate_45.2314_7.5934,Bar Maver Anna Maria Di Labate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_maver_anna_maria_di_labate_45.2314_7.5934.json,custom
45.230373,7.603142,ov_caffetteria_antonelli_45.2304_7.6031,Caffetteria Antonelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caffetteria_antonelli_45.2304_7.6031.json,custom
45.228989,7.601705,ov_al_baretto_da_alfre_45.2290_7.6017,Al Baretto Da Alfre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/al_baretto_da_alfre_45.2290_7.6017.json,custom
45.231195,7.612810,ov_caffe_villaggio_45.2312_7.6128,Caffe Villaggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caffe_villaggio_45.2312_7.6128.json,custom
45.227115,7.599875,ov_bar_caff__rossetti_45.2271_7.5999,Bar Caffè Rossetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_caff_rossetti_45.2271_7.5999.json,custom
45.225590,7.601716,ov_witches_cafe_45.2256_7.6017,Witches Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/witches_cafe_45.2256_7.6017.json,custom
45.225072,7.605204,ov_caff__imperiale_45.2251_7.6052,Caffè Imperiale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caff_imperiale_45.2251_7.6052.json,custom
45.225062,7.600742,ov_le_chicche_45.2251_7.6007,Le Chicche,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/le_chicche_45.2251_7.6007.json,custom
45.221886,7.600051,ov_bar_tabacchi_etoile_45.2219_7.6001,Bar tabacchi Etoile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_tabacchi_etoile_45.2219_7.6001.json,custom
45.220027,7.597331,ov_hobby_bar_45.2200_7.5973,Hobby Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/hobby_bar_45.2200_7.5973.json,custom
45.222323,7.607751,ov_caff__bistrot_le_vele_dream_45.2223_7.6078,Caffè Bistrot Le Vele-Dream,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caff_bistrot_le_vele-dream_45.2223_7.6078.json,custom
45.217500,7.632820,ov_alice_in_wonderland_ciri__45.2175_7.6328,Alice in Wonderland Ciriè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/alice_in_wonderland_ciri_45.2175_7.6328.json,custom
45.216591,7.611506,ov_nero_cafe_45.2166_7.6115,Nero Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/nero_cafe_45.2166_7.6115.json,custom
45.215748,7.591695,ov_bar_pasticceria_panetteria_destefanis_45.2157_7.5917,Bar Pasticceria Panetteria Destefanis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/bar_pasticceria_panetteria_destefanis_45.2157_7.5917.json,custom
45.215726,7.591873,ov_il_carpo_45.2157_7.5919,Il Carpo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/il_carpo_45.2157_7.5919.json,custom
45.234735,7.604589,osm_caff__grande_45.2347_7.6046,Caffè Grande,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/caff_grande_45.2347_7.6046.json,custom
45.237580,7.592258,osm_131_ristoro_45.2376_7.5923,131 Ristoro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/131_ristoro_45.2376_7.5923.json,custom
45.234153,7.607784,ov_asd_dacs_centro_danza_cirie_45.2342_7.6078,ASD DACS Centro Danza Cirie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/asd_dacs_centro_danza_cirie_45.2342_7.6078.json,custom
