# lat,lng,id,name,building_type,type,url,page_type
# giardini_naxos -- Tutti
37.845272,15.279353,ov_casa_vacanza_giardini_naxos_c_o_taormina_37.8453_15.2794,Casa Vacanza Giardini Naxos c/o Taormina - Ospedale San Vinc,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/casa_vacanza_giardini_naxos_co_taormina__37.8453_15.2794.json,custom
37.820645,15.252133,ov_giggia_s_bar_37.8206_15.2521,Giggia’s bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/giggias_bar_37.8206_15.2521.json,custom
37.821259,15.268048,ov_ellena_bar_tabacchi_37.8213_15.2680,Ellena Bar&Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ellena_bartabacchi_37.8213_15.2680.json,custom
37.824469,15.270515,ov_bamb__beach_relais_37.8245_15.2705,Bambù Beach Relais,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bamb_beach_relais_37.8245_15.2705.json,custom
37.823514,15.270436,ov_mister_roll_heineken_green_stage_33_37.8235_15.2704,Mister Roll Heineken Green Stage 33,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/mister_roll_heineken_green_stage_33_37.8235_15.2704.json,custom
37.820016,15.252500,ov_stay_cafe_37.8200_15.2525,Stay Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/stay_cafe_37.8200_15.2525.json,custom
37.819137,15.249619,ov_simon_bar_37.8191_15.2496,Simon Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/simon_bar_37.8191_15.2496.json,custom
37.818696,15.248708,ov_dolce_zefiro_caf__37.8187_15.2487,Dolce Zefiro Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/dolce_zefiro_caf_37.8187_15.2487.json,custom
37.818303,15.248082,ov_bar_ponte_alcantara_37.8183_15.2481,Bar Ponte Alcantara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_ponte_alcantara_37.8183_15.2481.json,custom
37.818495,15.266534,ov_sik__37.8185_15.2665,SIKÁ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/sik_37.8185_15.2665.json,custom
37.818437,15.266464,ov_bar_oasi_37.8184_15.2665,Bar Oasi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_oasi_37.8184_15.2665.json,custom
37.818571,15.266206,ov_giardini_recanati_37.8186_15.2662,Giardini Recanati,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/giardini_recanati_37.8186_15.2662.json,custom
37.818678,15.263661,ov_pizzeria_ristorante_bar_paradise_37.8187_15.2637,Pizzeria Ristorante Bar Paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pizzeria_ristorante_bar_paradise_37.8187_15.2637.json,custom
37.816730,15.265531,ov_la_tortuga_pub_37.8167_15.2655,la tortuga pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_tortuga_pub_37.8167_15.2655.json,custom
37.816667,15.265389,ov_da_tot__ristorante_pizzeria_37.8167_15.2654,Da Totò Ristorante Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/da_tot_ristorante_pizzeria_37.8167_15.2654.json,custom
37.832917,15.269718,ov_bar_nazionale_37.8329_15.2697,Bar Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_nazionale_37.8329_15.2697.json,custom
37.832997,15.270208,ov_birreria_vulcano_giardini_naxos_37.8330_15.2702,Birreria Vulcano Giardini Naxos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/birreria_vulcano_giardini_naxos_37.8330_15.2702.json,custom
37.830063,15.268842,ov_il_kantiere_della_moda_37.8301_15.2688,Il Kantiere della Moda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/il_kantiere_della_moda_37.8301_15.2688.json,custom
37.830740,15.269133,ov_baia_del_soul_37.8307_15.2691,Baia del Soul,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/baia_del_soul_37.8307_15.2691.json,custom
37.831050,15.268100,ov_caf_sikelia_37.8310_15.2681,cafėsikelia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/cafsikelia_37.8310_15.2681.json,custom
37.829369,15.268683,ov_caf__chantal_37.8294_15.2687,Café Chantal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/caf_chantal_37.8294_15.2687.json,custom
37.829714,15.268772,ov_schizzo_bar_gelateria_37.8297_15.2688,Schizzo Bar Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/schizzo_bar_gelateria_37.8297_15.2688.json,custom
37.826174,15.269417,ov_caf__de_mar_naxos_37.8262_15.2694,Cafè de Mar Naxos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/caf_de_mar_naxos_37.8262_15.2694.json,custom
37.825600,15.269280,ov_italianicius_37.8256_15.2693,Italianicius,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/italianicius_37.8256_15.2693.json,custom
37.826927,15.268813,ov_il_baretto_37.8269_15.2688,Il Baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/il_baretto_37.8269_15.2688.json,custom
37.827478,15.264386,ov_bar_il_punto_37.8275_15.2644,Bar Il Punto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_il_punto_37.8275_15.2644.json,custom
37.828155,15.263016,ov_calcarone__37.8282_15.2630,Calcarone♥,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/calcarone_37.8282_15.2630.json,custom
37.828656,15.268543,ov_bar_san_pancrazio_37.8287_15.2685,Bar San Pancrazio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_san_pancrazio_37.8287_15.2685.json,custom
37.833650,15.271029,ov_arcadia_cocktail_bar_37.8336_15.2710,Arcadia Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/arcadia_cocktail_bar_37.8336_15.2710.json,custom
37.836491,15.273430,ov_makla_bar_37.8365_15.2734,Makla Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/makla_bar_37.8365_15.2734.json,custom
37.836030,15.272404,ov_bar_san_giovanni_37.8360_15.2724,Bar San Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_san_giovanni_37.8360_15.2724.json,custom
37.839272,15.276569,ov_porto_franco_caf__37.8393_15.2766,Porto Franco Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/porto_franco_caf_37.8393_15.2766.json,custom
37.839187,15.276507,ov_lamuri_cocktails_and_food_37.8392_15.2765,Lamuri Cocktails and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lamuri_cocktails_and_food_37.8392_15.2765.json,custom
37.840722,15.277366,ov_bar_italia_37.8407_15.2774,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bar_italia_37.8407_15.2774.json,custom
37.840416,15.276944,ov_caff__cavallaro_37.8404_15.2769,Caffè Cavallaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/caff_cavallaro_37.8404_15.2769.json,custom
37.807303,15.249082,ov_new_ranch_club_37.8073_15.2491,New Ranch Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/new_ranch_club_37.8073_15.2491.json,custom
37.812601,15.260630,ov_sea_spirit_diving_37.8126_15.2606,Sea Spirit Diving,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/sea_spirit_diving_37.8126_15.2606.json,custom
37.821325,15.258975,ov_niki_gym_37.8213_15.2590,Niki Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/niki_gym_37.8213_15.2590.json,custom
37.821546,15.263412,ov_benessere_37.8215_15.2634,Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/benessere_37.8215_15.2634.json,custom
37.822020,15.264020,ov_cristal_dance_37.8220_15.2640,Cristal Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/cristal_dance_37.8220_15.2640.json,custom
37.823753,15.253047,ov_pitbull_gym___naxos_fight_promotion_37.8238_15.2530,Pitbull Gym - Naxos Fight Promotion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pitbull_gym_-_naxos_fight_promotion_37.8238_15.2530.json,custom
37.823893,15.262297,ov_h2o_fun_and_fit_37.8239_15.2623,H2O Fun and Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/h2o_fun_and_fit_37.8239_15.2623.json,custom
37.824587,15.256154,ov_olimpia_gym_2_0_37.8246_15.2562,Olimpia Gym 2.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/olimpia_gym_20_37.8246_15.2562.json,custom
37.823381,15.275004,ov_taormina_diving_center_37.8234_15.2750,Taormina Diving Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/taormina_diving_center_37.8234_15.2750.json,custom
37.817778,15.251579,ov_centro_sportivo_desport_37.8178_15.2516,Centro Sportivo Desport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/centro_sportivo_desport_37.8178_15.2516.json,custom
37.829619,15.268460,ov_tropicana_dance_academy_37.8296_15.2685,Tropicana Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/tropicana_dance_academy_37.8296_15.2685.json,custom
37.826260,15.258540,ov_studio_danza_gymnasium_37.8263_15.2585,Studio Danza Gymnasium,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/studio_danza_gymnasium_37.8263_15.2585.json,custom
37.825896,15.275387,ov_dive_sicily_37.8259_15.2754,Dive Sicily,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/dive_sicily_37.8259_15.2754.json,custom
37.827099,15.264159,ov_campo_sportivo_comunale_giardini_naxos_37.8271_15.2642,Campo Sportivo Comunale Giardini Naxos,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/campo_sportivo_comunale_giardini_naxos_37.8271_15.2642.json,custom
37.827890,15.265799,ov_naxosgym_37.8279_15.2658,NaxosGym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/naxosgym_37.8279_15.2658.json,custom
37.833713,15.270253,ov_cv_dance_studio_37.8337_15.2703,CV Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/cv_dance_studio_37.8337_15.2703.json,custom
37.838154,15.275364,ov_olimpia_gym_2_37.8382_15.2754,Olimpia GYM 2,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/olimpia_gym_2_37.8382_15.2754.json,custom
37.837721,15.271113,ov_palestra_comunale_37.8377_15.2711,Palestra Comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/palestra_comunale_37.8377_15.2711.json,custom
37.807220,15.260001,ov_le_pietre_nere_37.8072_15.2600,Le Pietre Nere,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/le_pietre_nere_37.8072_15.2600.json,custom
37.821125,15.267857,ov_antica_naxos_scavi_e_museo_archeologico_37.8211_15.2679,Antica Naxos Scavi E Museo Archeologico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/antica_naxos_scavi_e_museo_archeologico_37.8211_15.2679.json,custom
37.822521,15.275880,ov_porta_di_naxos_37.8225_15.2759,Porta di Naxos,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/porta_di_naxos_37.8225_15.2759.json,custom
37.818323,15.269183,ov_fiume_santa_venera_37.8183_15.2692,Fiume Santa Venera,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/fiume_santa_venera_37.8183_15.2692.json,custom
37.825785,15.257619,ov_archivio_storico___banca_della_memoria_d_37.8258_15.2576,Archivio Storico - Banca della Memoria di Giardini Naxos,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/archivio_storico_-_banca_della_memoria_d_37.8258_15.2576.json,custom
37.840928,15.277509,ov_biblioteca_comunale___lorino_mangano_37.8409_15.2775,Biblioteca Comunale - Lorino Mangano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/biblioteca_comunale_-_lorino_mangano_37.8409_15.2775.json,custom
