# lat,lng,id,name,building_type,type,url,page_type
# Beinasco -- Tutti
45.028098,7.598193,ov_atletic_lab_45.0281_7.5982,Atletic Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/atletic_lab_45.0281_7.5982.json,custom
45.028290,7.591990,ov_asd_gp_atp_torino_45.0283_7.5920,ASD gp ATP Torino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/asd_gp_atp_torino_45.0283_7.5920.json,custom
45.028872,7.600466,ov_dream_academy___scuola_di_ballo_e_danza_45.0289_7.6005,Dream Academy - Scuola di Ballo e Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/dream_academy_-_scuola_di_ballo_e_danza_45.0289_7.6005.json,custom
45.029051,7.599773,ov_boulenciel_45.0291_7.5998,Boulenciel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/boulenciel_45.0291_7.5998.json,custom
45.021682,7.583845,ov_fitactive_beinasco_45.0217_7.5838,FitActive Beinasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/fitactive_beinasco_45.0217_7.5838.json,custom
45.022401,7.586020,ov_art___music_evolution_45.0224_7.5860,Art & Music Evolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/art_music_evolution_45.0224_7.5860.json,custom
45.024961,7.582230,ov_eca_slot_club_45.0250_7.5822,Eca Slot Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/eca_slot_club_45.0250_7.5822.json,custom
45.017181,7.577517,ov_violeta_parra__malinteso_45.0172_7.5775,Violeta Parra -Malinteso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/violeta_parra_-malinteso_45.0172_7.5775.json,custom
45.012022,7.588700,ov_centro_estivo_le_dune_45.0120_7.5887,Centro Estivo Le Dune,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/centro_estivo_le_dune_45.0120_7.5887.json,custom
45.004458,7.601944,ov_asd_danzarmonia_45.0045_7.6019,Asd Danzarmonia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/asd_danzarmonia_45.0045_7.6019.json,custom
45.005617,7.604611,ov_tecnofitness_evolution_sport_45.0056_7.6046,Tecnofitness Evolution Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/tecnofitness_evolution_sport_45.0056_7.6046.json,custom
45.021887,7.579423,ov_biblioteche_beinasco_45.0219_7.5794,Biblioteche Beinasco,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/biblioteche_beinasco_45.0219_7.5794.json,custom
