# lat,lng,id,name,building_type,type,url,page_type
# Spinea -- Tutti
45.477220,12.206480,ov_palaghiaccio_spinea_45.4772_12.2065,Palaghiaccio Spinea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/palaghiaccio_spinea_45.4772_12.2065.json,custom
45.477003,12.153225,ov_arcieri_balestrieri_spinea_45.4770_12.1532,Arcieri Balestrieri Spinea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/arcieri_balestrieri_spinea_45.4770_12.1532.json,custom
45.486102,12.166903,ov_scuola_di_ballo_del_veneto___lg_sab_45.4861_12.1669,Scuola di Ballo del Veneto - LG SAB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/scuola_di_ballo_del_veneto_-_lg_sab_45.4861_12.1669.json,custom
45.486051,12.177864,ov_danza_danza_45.4861_12.1779,Danza&Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/danzadanza_45.4861_12.1779.json,custom
45.484526,12.170270,ov_palestra_comunale_45.4845_12.1703,Palestra Comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/palestra_comunale_45.4845_12.1703.json,custom
45.485549,12.170045,ov_ki_aikido_spinea_45.4855_12.1700,Ki Aikido Spinea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/ki_aikido_spinea_45.4855_12.1700.json,custom
45.487693,12.178773,ov_studio_zenith_pilates_45.4877_12.1788,Studio Zenith Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/studio_zenith_pilates_45.4877_12.1788.json,custom
45.491232,12.173017,ov_aquamore_spinea_45.4912_12.1730,Aquamore Spinea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/aquamore_spinea_45.4912_12.1730.json,custom
45.494670,12.167230,ov_palestra_comunale_palapascoli_45.4947_12.1672,Palestra Comunale PalaPascoli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/palestra_comunale_palapascoli_45.4947_12.1672.json,custom
45.491485,12.153675,ov_studio_25_45.4915_12.1537,Studio 25,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/studio_25_45.4915_12.1537.json,custom
45.489962,12.164689,ov_fondazione_yoga_45.4900_12.1647,Fondazione Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/fondazione_yoga_45.4900_12.1647.json,custom
45.491727,12.143900,ov_wellfit_studio_45.4917_12.1439,Wellfit studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/wellfit_studio_45.4917_12.1439.json,custom
45.492215,12.144671,ov_smartfit_s_s_d__a_r_l__45.4922_12.1447,Smartfit S.S.D. a r.l.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/smartfit_ssd_a_rl_45.4922_12.1447.json,custom
45.492806,12.145279,ov_accademia_veneta_di_danza_e_balletto_45.4928_12.1453,Accademia Veneta di Danza e Balletto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/accademia_veneta_di_danza_e_balletto_45.4928_12.1453.json,custom
45.493424,12.140868,ov_multisport_a_s_d__spinea_45.4934_12.1409,Multisport a.s.d. Spinea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/multisport_asd_spinea_45.4934_12.1409.json,custom
45.499623,12.152063,ov_centro_studi_danza_45.4996_12.1521,Centro Studi Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/centro_studi_danza_45.4996_12.1521.json,custom
45.486420,12.162106,ov_comune_di_spinea_45.4864_12.1621,Comune di Spinea,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/comune_di_spinea_45.4864_12.1621.json,custom
45.492701,12.161378,ov_biblioteca_comunale_di_spinea_45.4927_12.1614,Biblioteca Comunale di Spinea,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/biblioteca_comunale_di_spinea_45.4927_12.1614.json,custom
45.492633,12.161361,osm_biblioteca_comunale_citt__di_spinea_45.4926_12.1614,Biblioteca Comunale Città di Spinea,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/biblioteca_comunale_citt_di_spinea_45.4926_12.1614.json,custom
