# lat,lng,id,name,building_type,type,url,page_type
# grado -- Tutti
45.677160,13.385188,ov_cardamomo_ristorante_grado_45.6772_13.3852,Cardamomo Ristorante Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/cardamomo_ristorante_grado_45.6772_13.3852.json,custom
45.677192,13.386353,ov__instapizza_specialit__romane_grado_45.6772_13.3864,#Instapizza specialità romane Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/instapizza_specialit_romane_grado_45.6772_13.3864.json,custom
45.677216,13.389056,ov_ristorante_pizzeria_il_panino_45.6772_13.3891,Ristorante Pizzeria Il Panino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_pizzeria_il_panino_45.6772_13.3891.json,custom
45.677130,13.388350,ov_gastronomia_friulgourmet_45.6771_13.3884,Gastronomia FriulGourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/gastronomia_friulgourmet_45.6771_13.3884.json,custom
45.677131,13.386518,ov_romanorvm_45.6771_13.3865,Romanorvm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/romanorvm_45.6771_13.3865.json,custom
45.677134,13.385500,ov_al_marinaio_45.6771_13.3855,al Marinaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_marinaio_45.6771_13.3855.json,custom
45.677062,13.385265,ov_santa_lucia_45.6771_13.3853,Santa Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/santa_lucia_45.6771_13.3853.json,custom
45.677057,13.393812,ov_pizzeria_ciao_ciao_45.6771_13.3938,Pizzeria Ciao Ciao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pizzeria_ciao_ciao_45.6771_13.3938.json,custom
45.677208,13.393768,ov_l_ingordo_1996_45.6772_13.3938,L'Ingordo 1996,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/lingordo_1996_45.6772_13.3938.json,custom
45.676456,13.390569,ov_ristorante___pizzerie_al_viale_grado_45.6765_13.3906,Ristorante & Pizzerie Al Viale Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_pizzerie_al_viale_grado_45.6765_13.3906.json,custom
45.676494,13.387607,ov_ristorante_bistrot_motus_45.6765_13.3876,Ristorante Bistrot Motus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_bistrot_motus_45.6765_13.3876.json,custom
45.676192,13.386294,ov_ristorante_da_ovidio_45.6762_13.3863,Ristorante Da Ovidio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_da_ovidio_45.6762_13.3863.json,custom
45.676089,13.383426,ov_ristorante_alla_diga_45.6761_13.3834,Ristorante alla Diga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_alla_diga_45.6761_13.3834.json,custom
45.676073,13.386702,ov_osteria_al_gial_45.6761_13.3867,Osteria Al Gial,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/osteria_al_gial_45.6761_13.3867.json,custom
45.677052,13.426997,ov_spiaggia_airone_45.6771_13.4270,Spiaggia Airone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/spiaggia_airone_45.6771_13.4270.json,custom
45.678250,13.431880,ov_dissapore_grado_45.6782_13.4319,Dissapore Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/dissapore_grado_45.6782_13.4319.json,custom
45.717380,13.255350,ov_trattoria_ai_ciodi_45.7174_13.2553,Trattoria Ai Ciodi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_ai_ciodi_45.7174_13.2553.json,custom
45.724581,13.422543,ov_trattoria_alla_buona_vite_45.7246_13.4225,Trattoria alla Buona Vite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_alla_buona_vite_45.7246_13.4225.json,custom
45.724879,13.385891,ov_ristorante_da_piero_45.7249_13.3859,Ristorante Da Piero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_da_piero_45.7249_13.3859.json,custom
45.716588,13.458453,ov_da_renata_45.7166_13.4585,Da Renata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_renata_45.7166_13.4585.json,custom
45.732412,13.446669,ov_da_napoleone_45.7324_13.4467,Da Napoleone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_napoleone_45.7324_13.4467.json,custom
45.715801,13.485983,ov_agriturismo_la_figarola_45.7158_13.4860,Agriturismo La Figarola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/agriturismo_la_figarola_45.7158_13.4860.json,custom
