# lat,lng,id,name,building_type,type,url,page_type
# Valsamoggia -- Tutti
44.505842,11.086241,ov_bacco___tabacco_wine_bar_44.5058_11.0862,Bacco & Tabacco Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bacco_tabacco_wine_bar_44.5058_11.0862.json,custom
44.506171,11.098388,ov_normal_bar_44.5062_11.0984,Normal bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/normal_bar_44.5062_11.0984.json,custom
44.504910,11.086120,ov_dea_44.5049_11.0861,DEA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/dea_44.5049_11.0861.json,custom
44.504516,11.085925,ov_peperosa_44.5045_11.0859,PepeRosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/peperosa_44.5045_11.0859.json,custom
44.509842,11.110104,ov_bar_della_curva_44.5098_11.1101,Bar della Curva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bar_della_curva_44.5098_11.1101.json,custom
44.509233,11.109813,ov_bar_pasticceria_dolci_tentazioni_44.5092_11.1098,Bar Pasticceria Dolci Tentazioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bar_pasticceria_dolci_tentazioni_44.5092_11.1098.json,custom
44.509232,11.109814,ov_ls_di_guccini_lorenzo_e_c__sas_44.5092_11.1098,Ls Di Guccini Lorenzo E C. Sas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/ls_di_guccini_lorenzo_e_c_sas_44.5092_11.1098.json,custom
44.554652,11.167049,ov_statale_nove_44.5547_11.1670,Statale Nove,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/statale_nove_44.5547_11.1670.json,custom
44.547838,11.133542,ov_il_tiglio_44.5478_11.1335,Il Tiglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/il_tiglio_44.5478_11.1335.json,custom
44.547516,11.135038,ov_san_domenico_44.5475_11.1350,San Domenico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/san_domenico_44.5475_11.1350.json,custom
