# lat,lng,id,name,building_type,type,url,page_type
# Cortina d'Ampezzo -- Tutti
46.554740,12.132119,ov_ospedale_cortina_46.5547_12.1321,Ospedale Cortina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ospedale_cortina_46.5547_12.1321.json,custom
46.506340,12.158624,ov_area_51_46.5063_12.1586,Area 51,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/area_51_46.5063_12.1586.json,custom
46.543483,12.156458,ov_sanbrite_46.5435_12.1565,SanBrite,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/sanbrite_46.5435_12.1565.json,custom
46.543793,12.136733,ov_molo_cortina_46.5438_12.1367,Molo Cortina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/molo_cortina_46.5438_12.1367.json,custom
46.541319,12.134452,ov_bar_del_nano_di_antiga_bruno_46.5413_12.1345,Bar Del Nano Di Antiga Bruno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bar_del_nano_di_antiga_bruno_46.5413_12.1345.json,custom
46.538352,12.134925,ov_bar_el_becalen_46.5384_12.1349,Bar El Becalen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bar_el_becalen_46.5384_12.1349.json,custom
46.538597,12.135624,ov_bar_sport_46.5386_12.1356,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bar_sport_46.5386_12.1356.json,custom
46.538613,12.135645,ov_dersut_caffe_46.5386_12.1356,Dersut Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/dersut_caffe_46.5386_12.1356.json,custom
46.538002,12.136190,ov_bar_arnika_in_galleria_cortina_46.5380_12.1362,Bar Arnika In Galleria Cortina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bar_arnika_in_galleria_cortina_46.5380_12.1362.json,custom
46.538637,12.136231,ov_janbo_46.5386_12.1362,Janbo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/janbo_46.5386_12.1362.json,custom
46.537189,12.136717,ov_la_suite_46.5372_12.1367,La Suite,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_suite_46.5372_12.1367.json,custom
46.537113,12.136590,ov_enoteca_cortina_46.5371_12.1366,Enoteca Cortina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/enoteca_cortina_46.5371_12.1366.json,custom
46.538664,12.136392,ov_enoteca_baita_fraina_46.5387_12.1364,Enoteca Baita Fraina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/enoteca_baita_fraina_46.5387_12.1364.json,custom
46.538002,12.137968,ov_villa_sandi_bottega_del_vino_46.5380_12.1380,Villa Sandi Bottega del Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/villa_sandi_bottega_del_vino_46.5380_12.1380.json,custom
46.538235,12.138031,ov_genzian_bar_46.5382_12.1380,Genzian Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/genzian_bar_46.5382_12.1380.json,custom
46.538242,12.138022,ov_faro_cocktail_bar_46.5382_12.1380,Faro Cocktail bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/faro_cocktail_bar_46.5382_12.1380.json,custom
46.537739,12.138089,ov_zelda_cocktail_club_46.5377_12.1381,Zelda Cocktail Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/zelda_cocktail_club_46.5377_12.1381.json,custom
46.536959,12.138219,ov_embassy_bar_caf__46.5370_12.1382,Embassy Bar Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/embassy_bar_caf_46.5370_12.1382.json,custom
46.536896,12.137889,ov_mokarabia_spa_46.5369_12.1379,Mokarabia SPA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/mokarabia_spa_46.5369_12.1379.json,custom
46.536899,12.137621,ov_rifugio_averau_mt__2413_46.5369_12.1376,Rifugio Averau Mt. 2413,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_averau_mt_2413_46.5369_12.1376.json,custom
46.538230,12.137840,ov_dok_dall_ava_prosciutteria_46.5382_12.1378,Dok Dall'Ava Prosciutteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/dok_dallava_prosciutteria_46.5382_12.1378.json,custom
46.536149,12.140492,ov_bar_dolomiti_46.5361_12.1405,Bar Dolomiti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bar_dolomiti_46.5361_12.1405.json,custom
46.536347,12.140121,ov_al_caminetto_46.5363_12.1401,Al Caminetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/al_caminetto_46.5363_12.1401.json,custom
46.536560,12.140221,ov_cortina_d_ampezzo_via_roma_9_46.5366_12.1402,Cortina D'ampezzo Via Roma 9,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/cortina_dampezzo_via_roma_9_46.5366_12.1402.json,custom
46.511379,12.151141,ov_cortina_vetera_46.5114_12.1511,Cortina Vetera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/cortina_vetera_46.5114_12.1511.json,custom
46.536670,12.094758,ov_cantina_masi___col_drusci__46.5367_12.0948,Cantina Masi @ Col Druscié,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/cantina_masi_col_drusci_46.5367_12.0948.json,custom
46.542405,12.113253,ov_col_drusci__46.5424_12.1133,Col Drusciè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/col_drusci_46.5424_12.1133.json,custom
46.543084,12.104157,ov_masi_wine_bar_cortina_46.5431_12.1042,Masi Wine Bar Cortina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/masi_wine_bar_cortina_46.5431_12.1042.json,custom
46.537025,12.138190,osm_embassy_bar_caf__cortina_46.5370_12.1382,Embassy Bar Cafè Cortina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/embassy_bar_caf_cortina_46.5370_12.1382.json,custom
46.540147,12.135136,osm_il_vez_46.5401_12.1351,Il Vez,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/il_vez_46.5401_12.1351.json,custom
46.527595,12.009083,ov_kaiserj_gersteig_46.5276_12.0091,Kaiserjägersteig,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/kaiserjgersteig_46.5276_12.0091.json,custom
46.537617,12.071672,ov_ferrata_punta_anna_46.5376_12.0717,Ferrata Punta Anna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ferrata_punta_anna_46.5376_12.0717.json,custom
46.499831,12.040436,ov_ferrata_averau_46.4998_12.0404,Ferrata averau,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ferrata_averau_46.4998_12.0404.json,custom
46.534111,12.170166,ov_via_ferrata_sci_club_18_46.5341_12.1702,Via Ferrata Sci Club 18,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/via_ferrata_sci_club_18_46.5341_12.1702.json,custom
46.576121,12.129759,ov_punta_fiames_46.5761_12.1298,Punta Fiames,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/punta_fiames_46.5761_12.1298.json,custom
46.545646,12.127466,ov_eugenio_monti_bobsled_track_46.5456_12.1275,Eugenio Monti Bobsled Track,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/eugenio_monti_bobsled_track_46.5456_12.1275.json,custom
46.549504,12.131004,ov_cortina_dobbiaco_mtb_46.5495_12.1310,Cortina Dobbiaco MTB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/cortina_dobbiaco_mtb_46.5495_12.1310.json,custom
46.540843,12.135328,ov_scuola_sci_e_snowboard_cristallo_46.5408_12.1353,Scuola Sci e Snowboard Cristallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/scuola_sci_e_snowboard_cristallo_46.5408_12.1353.json,custom
46.542603,12.134510,ov_minigolf_helvetia_46.5426_12.1345,Minigolf Helvetia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/minigolf_helvetia_46.5426_12.1345.json,custom
46.539048,12.135224,ov_scuola_sci___snowboard_snowdreamers_46.5390_12.1352,Scuola Sci & Snowboard Snowdreamers,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/scuola_sci_snowboard_snowdreamers_46.5390_12.1352.json,custom
46.536844,12.137269,ov_m_over_sport_46.5368_12.1373,M'Over Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/mover_sport_46.5368_12.1373.json,custom
46.538603,12.130740,ov_full_ski_l2a_46.5386_12.1307,Full Ski L2A,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/full_ski_l2a_46.5386_12.1307.json,custom
46.544627,12.128832,ov_bob_club_cortina_46.5446_12.1288,Bob Club Cortina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bob_club_cortina_46.5446_12.1288.json,custom
46.519614,12.142746,ov_fairplay___massimo_bertoni_asd_46.5196_12.1427,FairPlay - Massimo Bertoni ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/fairplay_-_massimo_bertoni_asd_46.5196_12.1427.json,custom
46.536774,12.137709,ov_scuola_sci_cortina_46.5368_12.1377,Scuola Sci Cortina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/scuola_sci_cortina_46.5368_12.1377.json,custom
46.536996,12.137398,ov_guide_alpine_cortina_46.5370_12.1374,Guide Alpine Cortina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/guide_alpine_cortina_46.5370_12.1374.json,custom
46.536956,12.140969,ov_villa_regnera_cortina_d_ampezzo_46.5370_12.1410,Villa Regnera Cortina d'Ampezzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/villa_regnera_cortina_dampezzo_46.5370_12.1410.json,custom
46.538021,12.140694,ov_faloria_spa_46.5380_12.1407,Faloria SPA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/faloria_spa_46.5380_12.1407.json,custom
46.533288,12.140261,ov_scuola_sci_azzurra_46.5333_12.1403,Scuola Sci Azzurra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/scuola_sci_azzurra_46.5333_12.1403.json,custom
46.533540,12.140540,ov_scuola_sci_happy_ski_cortina_46.5335_12.1405,Scuola Sci Happy Ski Cortina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/scuola_sci_happy_ski_cortina_46.5335_12.1405.json,custom
46.509415,12.151854,ov_fitness_club_cortina_46.5094_12.1519,Fitness Club Cortina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/fitness_club_cortina_46.5094_12.1519.json,custom
46.533777,12.109648,ov_rifugio_socrepes_tofane_46.5338_12.1096,Rifugio Socrepes Tofane,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_socrepes_tofane_46.5338_12.1096.json,custom
46.574414,12.117529,ov_centro_yoga_jothyoga_46.5744_12.1175,Centro Yoga Jothyoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/centro_yoga_jothyoga_46.5744_12.1175.json,custom
46.593290,12.111260,ov_ferrata_strobel_punta_fiemmes_46.5933_12.1113,Ferrata Strobel punta Fiemmes,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ferrata_strobel_punta_fiemmes_46.5933_12.1113.json,custom
46.527883,11.991456,ov_forte_tre_sassi_museum_46.5279_11.9915,Forte Tre Sassi Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/forte_tre_sassi_museum_46.5279_11.9915.json,custom
46.501850,11.986581,ov_cima_gallina_46.5019_11.9866,Cima Gallina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/cima_gallina_46.5019_11.9866.json,custom
46.536700,12.136670,ov_museo_etnografico_delle_regole_d_ampezzo_46.5367_12.1367,Museo Etnografico delle Regole d'Ampezzo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/museo_etnografico_delle_regole_dampezzo_46.5367_12.1367.json,custom
46.536990,12.137330,ov_mario_rimoldi_modern_art_museum_46.5370_12.1373,Mario Rimoldi Modern Art Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/mario_rimoldi_modern_art_museum_46.5370_12.1373.json,custom
46.540226,12.131461,ov_museo_paleontologico_rinaldo_zardini_46.5402_12.1315,Museo Paleontologico Rinaldo Zardini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/museo_paleontologico_rinaldo_zardini_46.5402_12.1315.json,custom
46.540123,12.131005,ov_museo_etnografico_regole_d_ampezzo_46.5401_12.1310,Museo Etnografico Regole d'Ampezzo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/museo_etnografico_regole_dampezzo_46.5401_12.1310.json,custom
46.536989,12.138205,ov_corso_italia_46.5370_12.1382,Corso Italia,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/corso_italia_46.5370_12.1382.json,custom
46.537870,12.136279,ov_biblioteca_pubblica_cortina_d_ampezzo_46.5379_12.1363,Biblioteca pubblica Cortina d'Ampezzo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/biblioteca_pubblica_cortina_dampezzo_46.5379_12.1363.json,custom
