# lat,lng,id,name,building_type,type,url,page_type
# Campiglia Marittima -- Tutti
43.025421,10.599999,ov_crossmove360asd_43.0254_10.6000,CrossMove360ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/crossmove360asd_43.0254_10.6000.json,custom
43.026534,10.603891,ov_futura_club_43.0265_10.6039,Futura Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/futura_club_43.0265_10.6039.json,custom
43.028890,10.609280,ov_serena_studio_dance_e_fitness_43.0289_10.6093,Serena Studio Dance e Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/serena_studio_dance_e_fitness_43.0289_10.6093.json,custom
43.028890,10.609280,ov_ernesto_rossi_studio_personal_training_43.0289_10.6093,Ernesto Rossi Studio Personal Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ernesto_rossi_studio_personal_training_43.0289_10.6093.json,custom
43.030542,10.599964,ov_es_fitness_studio_43.0305_10.6000,ES Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/es_fitness_studio_43.0305_10.6000.json,custom
43.031840,10.602410,ov_meccanica_del_corpo_43.0318_10.6024,Meccanica del Corpo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/meccanica_del_corpo_43.0318_10.6024.json,custom
43.032983,10.611099,ov_palestra_power_gym_43.0330_10.6111,Palestra Power Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/palestra_power_gym_43.0330_10.6111.json,custom
43.032962,10.611129,ov_aea_health_club_43.0330_10.6111,aea HEALTH CLUB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/aea_health_club_43.0330_10.6111.json,custom
43.033062,10.600956,ov_palestra_scuola_altobelli_43.0331_10.6010,Palestra Scuola Altobelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/palestra_scuola_altobelli_43.0331_10.6010.json,custom
43.087000,10.605000,ov_parco_archeominerario_di_san_silvestro_43.0870_10.6050,Parco Archeominerario di San Silvestro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/parco_archeominerario_di_san_silvestro_43.0870_10.6050.json,custom
43.062020,10.614593,ov_archivio_storico_comunale_di_campiglia_m_43.0620_10.6146,Archivio Storico Comunale di Campiglia M.ma,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/archivio_storico_comunale_di_campiglia_m_43.0620_10.6146.json,custom
43.028030,10.607016,ov_biblioteca_venturina_43.0280_10.6070,Biblioteca Venturina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/biblioteca_venturina_43.0280_10.6070.json,custom
