# lat,lng,id,name,building_type,type,url,page_type
# augusta -- Tutti
37.220459,15.223252,ov_ospedale_militare___augusta_37.2205_15.2233,Ospedale Militare - Augusta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ospedale_militare_-_augusta_37.2205_15.2233.json,custom
37.247997,15.219910,ov_bar_balalaika_37.2480_15.2199,Bar Balalaika,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_balalaika_37.2480_15.2199.json,custom
37.247385,15.219329,ov_bar_del_viale_37.2474_15.2193,Bar del viale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_del_viale_37.2474_15.2193.json,custom
37.247733,15.219499,ov_caffe_premier_37.2477_15.2195,Caffe Premier,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/caffe_premier_37.2477_15.2195.json,custom
37.243820,15.219920,ov_bar_il_piccolo_vizio_37.2438_15.2199,Bar Il piccolo vizio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_il_piccolo_vizio_37.2438_15.2199.json,custom
37.242924,15.220230,ov_bar_dragone_37.2429_15.2202,Bar Dragone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_dragone_37.2429_15.2202.json,custom
37.242992,15.220299,ov_bar_pasticceria_andrea_cannav__37.2430_15.2203,Bar Pasticceria Andrea Cannavà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_pasticceria_andrea_cannav_37.2430_15.2203.json,custom
37.243071,15.220647,ov_bar_dolci_sapori_37.2431_15.2206,Bar Dolci Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_dolci_sapori_37.2431_15.2206.json,custom
37.240708,15.220525,ov_caffe_greco_pasticceria_37.2407_15.2205,Caffe Greco Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/caffe_greco_pasticceria_37.2407_15.2205.json,custom
37.241393,15.220294,ov_bar_bijou_37.2414_15.2203,Bar Bijou,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_bijou_37.2414_15.2203.json,custom
37.239845,15.224436,ov_rosmarino_cafe_37.2398_15.2244,Rosmarino Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/rosmarino_cafe_37.2398_15.2244.json,custom
37.242648,15.227305,ov_club_levante_augusta_37.2426_15.2273,Club Levante Augusta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/club_levante_augusta_37.2426_15.2273.json,custom
37.243260,15.222791,ov_tabaccheria__riv_21__37.2433_15.2228,Tabaccheria “RIV 21”,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/tabaccheria_riv_21_37.2433_15.2228.json,custom
37.243431,15.222609,ov_olympus_food_37.2434_15.2226,Olympus food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/olympus_food_37.2434_15.2226.json,custom
37.245727,15.223297,ov_chiosco_bar_harley_37.2457_15.2233,Chiosco bar Harley,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/chiosco_bar_harley_37.2457_15.2233.json,custom
37.239145,15.223775,ov_caffetteria_molo_marina_37.2391_15.2238,Caffetteria Molo Marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/caffetteria_molo_marina_37.2391_15.2238.json,custom
37.237967,15.221663,ov_bar_lungomare_37.2380_15.2217,Bar Lungomare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_lungomare_37.2380_15.2217.json,custom
37.237941,15.221670,ov_terrazza_rossini_37.2379_15.2217,Terrazza Rossini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/terrazza_rossini_37.2379_15.2217.json,custom
37.232000,15.220902,ov_bar_pasticceria_fichera_37.2320_15.2209,Bar Pasticceria Fichera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_pasticceria_fichera_37.2320_15.2209.json,custom
37.231714,15.220261,ov_bar_mocambo_37.2317_15.2203,Bar Mocambo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_mocambo_37.2317_15.2203.json,custom
37.230618,15.220358,ov_caffe_del_corso_37.2306_15.2204,Caffe del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/caffe_del_corso_37.2306_15.2204.json,custom
37.230587,15.220127,ov_white_bar_37.2306_15.2201,White bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/white_bar_37.2306_15.2201.json,custom
37.230510,15.219232,ov_suave_37.2305_15.2192,Suave,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/suave_37.2305_15.2192.json,custom
37.229956,15.219030,ov_sudinthecity_37.2300_15.2190,SUDinthecity,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/sudinthecity_37.2300_15.2190.json,custom
37.230039,15.219673,ov_tela_bianca_37.2300_15.2197,Tela Bianca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/tela_bianca_37.2300_15.2197.json,custom
37.229850,15.219870,ov_honey_food_and_drink_37.2298_15.2199,Honey Food and Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/honey_food_and_drink_37.2298_15.2199.json,custom
37.229514,15.220418,ov_principe_cafe_37.2295_15.2204,Principe Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/principe_cafe_37.2295_15.2204.json,custom
37.229538,15.220508,ov_bar_morana_37.2295_15.2205,Bar Morana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_morana_37.2295_15.2205.json,custom
37.223328,15.220620,ov_bar_parisien_37.2233_15.2206,Bar Parisien,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_parisien_37.2233_15.2206.json,custom
37.223030,15.220390,ov_bar_old_fashion_37.2230_15.2204,Bar Old Fashion,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_old_fashion_37.2230_15.2204.json,custom
37.222101,15.221891,ov_chiosco_paradiso_37.2221_15.2219,Chiosco Paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/chiosco_paradiso_37.2221_15.2219.json,custom
37.195088,15.182150,ov_bar_ammuccamu_37.1951_15.1821,Bar Ammuccamu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_ammuccamu_37.1951_15.1821.json,custom
37.157950,15.029550,ov_bombar_37.1579_15.0296,Bombar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bombar_37.1579_15.0296.json,custom
37.268621,15.198655,ov_green_padel_37.2686_15.1987,Green Padel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/green_padel_37.2686_15.1987.json,custom
37.269559,15.193768,ov_centro_polisportivo_augusta_37.2696_15.1938,Centro Polisportivo Augusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/centro_polisportivo_augusta_37.2696_15.1938.json,custom
37.258893,15.214986,ov_padel_club_augusta_37.2589_15.2150,Padel Club Augusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/padel_club_augusta_37.2589_15.2150.json,custom
37.260199,15.226642,ov_a_s_d_augusta_racing_motorsport_37.2602_15.2266,A.S.D Augusta Racing Motorsport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/asd_augusta_racing_motorsport_37.2602_15.2266.json,custom
37.274287,15.214545,ov_maneggio_roggio_37.2743_15.2145,Maneggio Roggio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/maneggio_roggio_37.2743_15.2145.json,custom
37.241842,15.249411,ov_centro_danza_il_cigno_bianco_37.2418_15.2494,Centro Danza Il Cigno Bianco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/centro_danza_il_cigno_bianco_37.2418_15.2494.json,custom
37.250217,15.227437,ov_crossgym_augusta_37.2502_15.2274,Crossgym Augusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/crossgym_augusta_37.2502_15.2274.json,custom
37.250041,15.226527,ov_power_fit_37.2500_15.2265,Power Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/power_fit_37.2500_15.2265.json,custom
37.250646,15.213071,ov_scuola_di_danza_chor_ia_37.2506_15.2131,Scuola di Danza Chorèia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/scuola_di_danza_choria_37.2506_15.2131.json,custom
37.250862,15.222466,ov_fitnesslab_37.2509_15.2225,FitnessLAB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/fitnesslab_37.2509_15.2225.json,custom
37.250786,15.222401,ov_acquile_verdi_37.2508_15.2224,Acquile Verdi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/acquile_verdi_37.2508_15.2224.json,custom
37.244083,15.219428,ov_time_dance_sport_asd_37.2441_15.2194,Time Dance Sport Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/time_dance_sport_asd_37.2441_15.2194.json,custom
37.244641,15.218830,ov_centro_danza_ddette_odile_37.2446_15.2188,Centro Danza Ddette Odile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/centro_danza_ddette_odile_37.2446_15.2188.json,custom
37.245545,15.218738,ov_associazione_sportiva_gold__s_gym_37.2455_15.2187,Associazione Sportiva Goldì S Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/associazione_sportiva_gold_s_gym_37.2455_15.2187.json,custom
37.243472,15.219293,ov_titan_gym_37.2435_15.2193,Titan gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/titan_gym_37.2435_15.2193.json,custom
37.243410,15.219813,ov_accademia_fuego_latino_augusta_37.2434_15.2198,Accademia Fuego Latino Augusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/accademia_fuego_latino_augusta_37.2434_15.2198.json,custom
37.242299,15.220303,ov_smilurama_37.2423_15.2203,Smilurama,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/smilurama_37.2423_15.2203.json,custom
37.242080,15.222491,ov_asd__sportlife_augusta_37.2421_15.2225,ASD. Sportlife Augusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/asd_sportlife_augusta_37.2421_15.2225.json,custom
37.240850,15.219650,ov_fighters___fitness_team_sosta_37.2409_15.2196,Fighters & Fitness Team Sosta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/fighters_fitness_team_sosta_37.2409_15.2196.json,custom
37.240147,15.224676,ov_reformer_pilates_studio_37.2401_15.2247,Reformer Pilates Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/reformer_pilates_studio_37.2401_15.2247.json,custom
37.240671,15.225193,ov_le_palme_37.2407_15.2252,LE Palme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/le_palme_37.2407_15.2252.json,custom
37.238160,15.222319,ov_fitnessclub_augusta_37.2382_15.2223,Fitnessclub augusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/fitnessclub_augusta_37.2382_15.2223.json,custom
37.228930,15.220150,ov_asd_bushido_academy_martial_arts_37.2289_15.2202,ASD Bushido Academy Martial Arts,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/asd_bushido_academy_martial_arts_37.2289_15.2202.json,custom
37.228829,15.222125,ov_ops_art_37.2288_15.2221,Ops.art,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/opsart_37.2288_15.2221.json,custom
37.221197,15.221429,ov_new_paradise_club_37.2212_15.2214,New Paradise Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/new_paradise_club_37.2212_15.2214.json,custom
37.289666,15.141423,ov_cozzo_telegrafo_37.2897_15.1414,Cozzo Telegrafo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/cozzo_telegrafo_37.2897_15.1414.json,custom
37.285459,15.186614,ov_castello_di_brucoli_37.2855_15.1866,Castello di Brucoli,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/castello_di_brucoli_37.2855_15.1866.json,custom
37.234605,15.220834,ov_castello_svevo_37.2346_15.2208,Castello Svevo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/castello_svevo_37.2346_15.2208.json,custom
37.230219,15.220047,ov_museo_della_piazzaforte_37.2302_15.2200,Museo della Piazzaforte,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/museo_della_piazzaforte_37.2302_15.2200.json,custom
37.229538,15.221590,ov_palazzo_san_biagio_37.2295_15.2216,Palazzo San Biagio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/palazzo_san_biagio_37.2295_15.2216.json,custom
