# lat,lng,id,name,building_type,type,url,page_type
# seveso -- Tutti
45.641009,9.124129,ov_bar_altopiano_45.6410_9.1241,Bar Altopiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_altopiano_45.6410_9.1241.json,custom
45.642837,9.128839,ov_central_perk_45.6428_9.1288,Central Perk,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/central_perk_45.6428_9.1288.json,custom
45.642776,9.130399,ov_bar_stadio_altopiano_45.6428_9.1304,BAR Stadio Altopiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_stadio_altopiano_45.6428_9.1304.json,custom
45.639503,9.165001,ov_fior_di_loto_45.6395_9.1650,Fior di Loto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/fior_di_loto_45.6395_9.1650.json,custom
45.638397,9.175188,ov_caffenoteca_degusti_bus_45.6384_9.1752,Caffenoteca Degusti Bus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/caffenoteca_degusti_bus_45.6384_9.1752.json,custom
45.646201,9.139060,osm_nuovo_caff__manzoni_45.6462_9.1391,Nuovo Caffè Manzoni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/nuovo_caff_manzoni_45.6462_9.1391.json,custom
45.648079,9.140033,osm_bar_fortuna_45.6481_9.1400,Bar Fortuna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_fortuna_45.6481_9.1400.json,custom
45.650157,9.141530,osm_auri_s_45.6502_9.1415,Auri's,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/auris_45.6502_9.1415.json,custom
45.650245,9.141498,osm_bar_las_vegas_45.6502_9.1415,Bar Las Vegas,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_las_vegas_45.6502_9.1415.json,custom
45.643298,9.139115,osm_bar_madonna_45.6433_9.1391,Bar Madonna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_madonna_45.6433_9.1391.json,custom
