# lat,lng,id,name,building_type,type,url,page_type
# Ciampino -- Tutti
41.795355,12.608839,ov_pizzeria_l_arcobaleno_41.7954_12.6088,Pizzeria L'arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_larcobaleno_41.7954_12.6088.json,custom
41.791694,12.609217,ov_le_coccinelle_41.7917_12.6092,Le Coccinelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/le_coccinelle_41.7917_12.6092.json,custom
41.787999,12.606194,ov_estrogusto_41.7880_12.6062,Estrogusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/estrogusto_41.7880_12.6062.json,custom
41.788100,12.606244,ov_locanda_baffolona_41.7881_12.6062,Locanda Baffolona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/locanda_baffolona_41.7881_12.6062.json,custom
41.793782,12.606816,ov_ale_pizza_2_pizzeria_a_domicilio_ciampin_41.7938_12.6068,Ale Pizza 2-Pizzeria a Domicilio Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ale_pizza_2-pizzeria_a_domicilio_ciampin_41.7938_12.6068.json,custom
41.790591,12.604217,ov_ida_renato_e_figli_41.7906_12.6042,Ida Renato e Figli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ida_renato_e_figli_41.7906_12.6042.json,custom
41.787854,12.616304,ov_ristorante_roby_dal_1990_41.7879_12.6163,Ristorante Roby dal 1990,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ristorante_roby_dal_1990_41.7879_12.6163.json,custom
41.787939,12.617962,ov_pig_stop_srls_41.7879_12.6180,Pig Stop Srls,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pig_stop_srls_41.7879_12.6180.json,custom
41.784677,12.618942,ov_ristorante_superghino_41.7847_12.6189,Ristorante Superghino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ristorante_superghino_41.7847_12.6189.json,custom
41.793737,12.620122,ov_pizzeria_l_angoletto_41.7937_12.6201,Pizzeria L'Angoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_langoletto_41.7937_12.6201.json,custom
41.788951,12.617594,ov_koi_ristorante_sushi_ciampino_41.7890_12.6176,Koi Ristorante Sushi Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/koi_ristorante_sushi_ciampino_41.7890_12.6176.json,custom
41.789449,12.616771,ov_la_vera_napoli_ciampino_giuseppe_avolio_41.7894_12.6168,La Vera Napoli Ciampino Giuseppe Avolio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_vera_napoli_ciampino_giuseppe_avolio_41.7894_12.6168.json,custom
41.789815,12.616345,ov_noi_pizza_41.7898_12.6163,Noi Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/noi_pizza_41.7898_12.6163.json,custom
41.791727,12.614558,ov_l_officina_alimentare_41.7917_12.6146,L'Officina Alimentare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/lofficina_alimentare_41.7917_12.6146.json,custom
41.792755,12.613425,ov_macelleria_bisteccheria_ulivieri_41.7928_12.6134,Macelleria Bisteccheria Ulivieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/macelleria_bisteccheria_ulivieri_41.7928_12.6134.json,custom
41.791077,12.615218,ov_trattoria_i_belloni_41.7911_12.6152,Trattoria I Belloni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/trattoria_i_belloni_41.7911_12.6152.json,custom
41.788170,12.613910,ov_sapore_del_mare_2_41.7882_12.6139,Sapore del Mare 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/sapore_del_mare_2_41.7882_12.6139.json,custom
41.791154,12.611201,ov_ristorante_il_limoncello_41.7912_12.6112,Ristorante Il Limoncello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ristorante_il_limoncello_41.7912_12.6112.json,custom
41.791122,12.611323,ov_il_limoncello_41.7911_12.6113,Il Limoncello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/il_limoncello_41.7911_12.6113.json,custom
41.794007,12.611847,ov_mordi_e_vai_41.7940_12.6118,Mordi e Vai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mordi_e_vai_41.7940_12.6118.json,custom
41.794630,12.610768,ov_la_pala_magica_ciampino_41.7946_12.6108,La Pala Magica Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_pala_magica_ciampino_41.7946_12.6108.json,custom
41.795231,12.625879,ov_charlie_s_kitchen_41.7952_12.6259,Charlie's Kitchen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/charlies_kitchen_41.7952_12.6259.json,custom
41.794752,12.629048,ov_l_altra_tappa_41.7948_12.6290,L'Altra Tappa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/laltra_tappa_41.7948_12.6290.json,custom
41.778529,12.639271,ov_location_tiffany___ristorazione_ed_event_41.7785_12.6393,Location Tiffany - Ristorazione ed Eventi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/location_tiffany_-_ristorazione_ed_event_41.7785_12.6393.json,custom
41.778411,12.639586,ov_cesarino_e_la_perla_41.7784_12.6396,Cesarino e la Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/cesarino_e_la_perla_41.7784_12.6396.json,custom
41.819970,12.583980,ov_i_gabbiani_41.8200_12.5840,I Gabbiani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/i_gabbiani_41.8200_12.5840.json,custom
41.820455,12.585563,ov_distributore_di_materiale_elettrico___so_41.8205_12.5856,Distributore di materiale elettrico - Sonepar - Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/distributore_di_materiale_elettrico_-_so_41.8205_12.5856.json,custom
41.819144,12.585288,ov_mcdonald_s_41.8191_12.5853,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mcdonalds_41.8191_12.5853.json,custom
41.880809,12.507929,ov_mad_cow_and_mad_pizza_41.8808_12.5079,Mad Cow and Mad Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mad_cow_and_mad_pizza_41.8808_12.5079.json,custom
41.799084,12.604215,osm_il_molisano_41.7991_12.6042,Il Molisano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/il_molisano_41.7991_12.6042.json,custom
41.799267,12.590996,osm_mcdonald_s_41.7993_12.5910,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mcdonalds_41.7993_12.5910.json,custom
41.799169,12.591229,osm_piadina_41.7992_12.5912,Piadina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/piadina_41.7992_12.5912.json,custom
41.809270,12.600281,osm_i_vitelloni_41.8093_12.6003,I vitelloni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/i_vitelloni_41.8093_12.6003.json,custom
41.804753,12.595746,osm_il_marchese_del_grill_41.8048_12.5957,Il Marchese del grill,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/il_marchese_del_grill_41.8048_12.5957.json,custom
41.799069,12.604410,osm_alice_41.7991_12.6044,Alice,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/alice_41.7991_12.6044.json,custom
41.806521,12.602864,osm_la_coccinella_41.8065_12.6029,La Coccinella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_coccinella_41.8065_12.6029.json,custom
41.802915,12.598174,osm_appizzamose_41.8029_12.5982,Appizzamose,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/appizzamose_41.8029_12.5982.json,custom
41.803286,12.598303,osm_re_art__41.8033_12.5983,Re Artù,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/re_art_41.8033_12.5983.json,custom
41.805352,12.599391,osm_bosporus_istanbul_kebab_41.8054_12.5994,Bosporus Istanbul Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bosporus_istanbul_kebab_41.8054_12.5994.json,custom
