# lat,lng,id,name,building_type,type,url,page_type
# impruneta -- Tutti
43.782736,11.242268,ov_la_certosa_43.7827_11.2423,La Certosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/la_certosa_43.7827_11.2423.json,custom
43.712157,11.216917,osm_terzotempo_43.7122_11.2169,Terzotempo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/terzotempo_43.7122_11.2169.json,custom
43.681077,11.263430,osm_il_battibecco_43.6811_11.2634,Il Battibecco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/il_battibecco_43.6811_11.2634.json,custom
43.685536,11.255006,ov_bar_italia_43.6855_11.2550,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/bar_italia_43.6855_11.2550.json,custom
43.685095,11.256410,ov_caffe_bacco_tabacco_43.6851_11.2564,Caffe Bacco Tabacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/caffe_bacco_tabacco_43.6851_11.2564.json,custom
43.687971,11.250141,ov_diadema_wine_bar_and_restaurant_43.6880_11.2501,Diadema Wine Bar and Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/diadema_wine_bar_and_restaurant_43.6880_11.2501.json,custom
43.709620,11.215941,ov_bar_le_tavarnuzze_43.7096_11.2159,Bar Le Tavarnuzze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/bar_le_tavarnuzze_43.7096_11.2159.json,custom
43.711322,11.216085,ov_caffe_latino_43.7113_11.2161,Caffe Latino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/caffe_latino_43.7113_11.2161.json,custom
43.727220,11.224090,ov_luogo_del_vino_43.7272_11.2241,Luogo Del Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/luogo_del_vino_43.7272_11.2241.json,custom
43.727282,11.224198,ov_vinoteca_al_chianti_selezione_formigli_s_43.7273_11.2242,Vinoteca Al Chianti Selezione Formigli SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/vinoteca_al_chianti_selezione_formigli_s_43.7273_11.2242.json,custom
