# lat,lng,id,name,building_type,type,url,page_type
# ponza -- Tutti
40.919578,12.962927,ov_pontino_40.9196_12.9629,Pontino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/pontino_40.9196_12.9629.json,custom
40.920546,12.966110,ov_civico_57_vista_mare_40.9205_12.9661,Civico 57 Vista Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/civico_57_vista_mare_40.9205_12.9661.json,custom
40.920578,12.966282,ov_il_ristorante_di_ivan_altieri_40.9206_12.9663,Il Ristorante di Ivan Altieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/il_ristorante_di_ivan_altieri_40.9206_12.9663.json,custom
40.922030,12.967180,ov_l_isola_restaurant___cocktail_bar_40.9220_12.9672,L'Isola Restaurant - Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/lisola_restaurant_-_cocktail_bar_40.9220_12.9672.json,custom
40.927440,12.973158,ov_silvio_pizza__bar_nuovo_40.9274_12.9732,Silvio Pizza- Bar Nuovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/silvio_pizza-_bar_nuovo_40.9274_12.9732.json,custom
40.929563,12.979093,ov_ristorante_cosi_com_era_40.9296_12.9791,Ristorante Cosi Com'era,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_cosi_comera_40.9296_12.9791.json,custom
40.929050,12.979043,ov_ristorante_bar_miramare_40.9291_12.9790,Ristorante Bar Miramare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_bar_miramare_40.9291_12.9790.json,custom
40.931100,12.980374,ov_ristorante_angelino_40.9311_12.9804,Ristorante Angelino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_angelino_40.9311_12.9804.json,custom
40.929848,12.984700,ov_ristorante_punta_incenso_40.9298_12.9847,Ristorante Punta Incenso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_punta_incenso_40.9298_12.9847.json,custom
40.919491,12.961456,ov_nautilus_noleggio_barche_e_gommoni_40.9195_12.9615,Nautilus Noleggio Barche e Gommoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/nautilus_noleggio_barche_e_gommoni_40.9195_12.9615.json,custom
40.919205,12.957824,ov_il_grottino_40.9192_12.9578,Il Grottino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/il_grottino_40.9192_12.9578.json,custom
40.895860,12.955040,ov_chiaia_di_luna_resort_40.8959_12.9550,Chiaia Di Luna Resort,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/chiaia_di_luna_resort_40.8959_12.9550.json,custom
40.906816,12.959903,ov_frontone_beach_club_ponza_40.9068_12.9599,Frontone Beach Club Ponza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/frontone_beach_club_ponza_40.9068_12.9599.json,custom
40.898462,12.961090,ov_yemanja_club_mediterraneo_40.8985_12.9611,Yemanja Club Mediterraneo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/yemanja_club_mediterraneo_40.8985_12.9611.json,custom
40.894269,12.960145,ov_gelateria_panoramica_40.8943_12.9601,gelateria panoramica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/gelateria_panoramica_40.8943_12.9601.json,custom
40.894096,12.960250,ov_bar_onda_marina_40.8941_12.9603,Bar Onda Marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_onda_marina_40.8941_12.9603.json,custom
40.894000,12.960760,ov_k_bar_40.8940_12.9608,K BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/k_bar_40.8940_12.9608.json,custom
40.894002,12.962839,ov_banchina_23_40.8940_12.9628,Banchina 23,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/banchina_23_40.8940_12.9628.json,custom
40.893681,12.963156,ov_caffetteria_gelateria_napoletana_40.8937_12.9632,Caffetteria Gelateria Napoletana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/caffetteria_gelateria_napoletana_40.8937_12.9632.json,custom
40.894290,12.963250,ov_bar_chalet_40.8943_12.9632,Bar Chalet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_chalet_40.8943_12.9632.json,custom
40.894143,12.964475,ov_eden_ponza_40.8941_12.9645,Eden Ponza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/eden_ponza_40.8941_12.9645.json,custom
40.894297,12.965739,ov_spaccio_birra_40.8943_12.9657,Spaccio Birra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/spaccio_birra_40.8943_12.9657.json,custom
40.894392,12.966007,ov_bar_tripoli_40.8944_12.9660,Bar Tripoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_tripoli_40.8944_12.9660.json,custom
40.894510,12.966201,ov_bar_gelateria_maga_circe_40.8945_12.9662,Bar Gelateria Maga Circe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_gelateria_maga_circe_40.8945_12.9662.json,custom
40.894646,12.966241,ov_bar_dei_pesci_40.8946_12.9662,Bar dei pesci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_dei_pesci_40.8946_12.9662.json,custom
