# lat,lng,id,name,building_type,type,url,page_type
# Mentana -- Tutti
42.037970,12.637364,ov_bar_dea_42.0380_12.6374,Bar Dea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_dea_42.0380_12.6374.json,custom
42.038010,12.637515,ov_dolci_e_caff__le_golosit__42.0380_12.6375,Dolci e Caffè le golosità,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/dolci_e_caff_le_golosit_42.0380_12.6375.json,custom
42.036636,12.641474,ov_la_piazza_42.0366_12.6415,La piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/la_piazza_42.0366_12.6415.json,custom
42.035762,12.641811,ov_le_officine_motoclub_42.0358_12.6418,Le Officine Motoclub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/le_officine_motoclub_42.0358_12.6418.json,custom
42.035136,12.641183,ov_bar_tex_42.0351_12.6412,Bar Tex,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_tex_42.0351_12.6412.json,custom
42.034512,12.637725,ov_caffe_grande_42.0345_12.6377,Caffe Grande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/caffe_grande_42.0345_12.6377.json,custom
42.034332,12.637489,ov_vicolo_42.0343_12.6375,Vicolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/vicolo_42.0343_12.6375.json,custom
42.034830,12.637820,ov_spiriti_divini_42.0348_12.6378,Spiriti divini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/spiriti_divini_42.0348_12.6378.json,custom
42.035320,12.637797,ov_bar_iii_novembre_42.0353_12.6378,Bar III Novembre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_iii_novembre_42.0353_12.6378.json,custom
42.045340,12.633800,ov_sweetlife_bakery_42.0453_12.6338,Sweetlife bakery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/sweetlife_bakery_42.0453_12.6338.json,custom
42.039459,12.643828,ov_michela__bar_del_centro_42.0395_12.6438,Michela. Bar del centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/michela_bar_del_centro_42.0395_12.6438.json,custom
42.048855,12.646097,ov_bar_saggio_42.0489_12.6461,Bar Saggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_saggio_42.0489_12.6461.json,custom
42.053969,12.634005,ov_mama_caffe_in_famiglia_42.0540_12.6340,Mama Caffe in Famiglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/mama_caffe_in_famiglia_42.0540_12.6340.json,custom
42.036580,12.643399,osm_bar_giolitti_42.0366_12.6434,Bar Giolitti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_giolitti_42.0366_12.6434.json,custom
42.037954,12.638762,osm_dadaum_42.0380_12.6388,Dadaum,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/dadaum_42.0380_12.6388.json,custom
42.039971,12.640331,osm_bar_reatina_42.0400_12.6403,Bar Reatina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_reatina_42.0400_12.6403.json,custom
42.037667,12.643354,osm_bar_pasticceria_gelateria_monte_bianco_42.0377_12.6434,Bar Pasticceria Gelateria Monte Bianco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_pasticceria_gelateria_monte_bianco_42.0377_12.6434.json,custom
42.057439,12.696899,osm_bar_follia_42.0574_12.6969,Bar Follia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/bar_follia_42.0574_12.6969.json,custom
42.037229,12.643139,osm_phoenix_pub_42.0372_12.6431,Phoenix Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/phoenix_pub_42.0372_12.6431.json,custom
42.061150,12.690990,ov_centro_uriel_42.0611_12.6910,Centro Uriel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/centro_uriel_42.0611_12.6910.json,custom
42.055461,12.696521,ov_go_dance_42.0555_12.6965,Go Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/go_dance_42.0555_12.6965.json,custom
42.057190,12.697410,ov_wintotocastelchiodato_42.0572_12.6974,Wintotocastelchiodato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/wintotocastelchiodato_42.0572_12.6974.json,custom
42.032974,12.656250,ov_sgv_umberto_i_1875_42.0330_12.6562,SGV Umberto I 1875,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/sgv_umberto_i_1875_42.0330_12.6562.json,custom
42.021307,12.665083,ov_centro_ippico_talus_42.0213_12.6651,Centro Ippico Talus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/centro_ippico_talus_42.0213_12.6651.json,custom
42.024868,12.649721,ov_studio_training_professional_fitness_42.0249_12.6497,Studio Training Professional Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/studio_training_professional_fitness_42.0249_12.6497.json,custom
