# lat,lng,id,name,building_type,type,url,page_type
# trezzo_sulladda -- Tutti
45.613250,9.510840,ov_pausa_caff__45.6133_9.5108,Pausa CaffÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/pausa_caff_45.6133_9.5108.json,custom
45.602279,9.526619,osm_art_e_caf__45.6023_9.5266,Art e café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/art_e_caf_45.6023_9.5266.json,custom
45.609543,9.520404,osm_bar_ruel_45.6095_9.5204,Bar Ruel,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/bar_ruel_45.6095_9.5204.json,custom
45.608156,9.522505,osm_p_cube3_45.6082_9.5225,P Cube3,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/p_cube3_45.6082_9.5225.json,custom
45.603481,9.517454,ov_fitactive_trezzo_sull_adda_45.6035_9.5175,Fitactive Trezzo sull'Adda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/fitactive_trezzo_sulladda_45.6035_9.5175.json,custom
45.604894,9.519627,ov_20_fitness_studio_45.6049_9.5196,20 Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/20_fitness_studio_45.6049_9.5196.json,custom
45.608896,9.521110,ov_arcieri_del_bernab__45.6089_9.5211,Arcieri del Bernabò,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/arcieri_del_bernab_45.6089_9.5211.json,custom
45.609112,9.520603,ov_lal__spazio_benessere_45.6091_9.5206,laLù SPAZIO BENESSERE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/lal_spazio_benessere_45.6091_9.5206.json,custom
45.608800,9.517274,ov_dynamic_sports_center_45.6088_9.5173,Dynamic Sports Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/dynamic_sports_center_45.6088_9.5173.json,custom
45.607324,9.522918,ov_dance___fitness_academy_45.6073_9.5229,Dance & Fitness Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/dance_fitness_academy_45.6073_9.5229.json,custom
45.606439,9.524329,ov_nrg_srl_45.6064_9.5243,NRG srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/nrg_srl_45.6064_9.5243.json,custom
45.596537,9.525343,ov_scuderia_val_fregia_45.5965_9.5253,Scuderia Val Fregia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/scuderia_val_fregia_45.5965_9.5253.json,custom
45.598211,9.518164,ov_tritium_training_center_45.5982_9.5182,Tritium Training Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/tritium_training_center_45.5982_9.5182.json,custom
45.598049,9.517843,ov_ab_tonic_body_sculpture_club_45.5980_9.5178,Ab Tonic Body Sculpture Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/ab_tonic_body_sculpture_club_45.5980_9.5178.json,custom
45.614081,9.510626,ov_centro_sportivo_trezzo_45.6141_9.5106,Centro Sportivo Trezzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/centro_sportivo_trezzo_45.6141_9.5106.json,custom
45.613597,9.509350,ov_solodanza_trezzo_45.6136_9.5093,SoloDanza Trezzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/solodanza_trezzo_45.6136_9.5093.json,custom
45.608874,9.517328,osm_palestra_dynamic_center_45.6089_9.5173,Palestra Dynamic Center,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/palestra_dynamic_center_45.6089_9.5173.json,custom
45.602604,9.528414,ov_muva___museo_della_valle_dell_adda_45.6026_9.5284,MUVA - Museo della Valle dell'Adda,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/muva_-_museo_della_valle_delladda_45.6026_9.5284.json,custom
45.612052,9.523202,ov_trezzo_sull_adda_bridge_45.6121_9.5232,Trezzo sull'Adda Bridge,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/trezzo_sulladda_bridge_45.6121_9.5232.json,custom
45.611774,9.521950,ov_castello_visconteo_di_trezzo_sull_adda_45.6118_9.5220,Castello Visconteo di Trezzo sull'Adda,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/castello_visconteo_di_trezzo_sulladda_45.6118_9.5220.json,custom
45.605567,9.519056,osm_poste_di_trezzo_sull_adda_45.6056_9.5191,Poste di Trezzo sull'Adda,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/poste_di_trezzo_sulladda_45.6056_9.5191.json,custom
45.610751,9.519138,ov_biblioteca_comunale_alessandro_manzoni_45.6108_9.5191,Biblioteca Comunale Alessandro Manzoni,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/biblioteca_comunale_alessandro_manzoni_45.6108_9.5191.json,custom
45.609890,9.520355,osm_biblioteca_privata_alessandro_bassi_45.6099_9.5204,Biblioteca Privata Alessandro Bassi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/biblioteca_privata_alessandro_bassi_45.6099_9.5204.json,custom
45.610928,9.519027,osm_biblioteca_alessandro_manzoni_45.6109_9.5190,Biblioteca Alessandro Manzoni,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/biblioteca_alessandro_manzoni_45.6109_9.5190.json,custom
