# lat,lng,id,name,building_type,type,url,page_type
# santa_margherita_ligure -- Tutti
44.330391,9.212645,ov_caffe__del_porto_44.3304_9.2126,Caffe' del Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/caffe_del_porto_44.3304_9.2126.json,custom
44.330313,9.212268,ov_trattoria_da_pino_44.3303_9.2123,Trattoria da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/trattoria_da_pino_44.3303_9.2123.json,custom
44.330663,9.211856,ov_rakki_sushi_44.3307_9.2119,Rakki sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/rakki_sushi_44.3307_9.2119.json,custom
44.331309,9.194436,ov_agriturismo_oasi_del_tigullio_44.3313_9.1944,Agriturismo Oasi del Tigullio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/agriturismo_oasi_del_tigullio_44.3313_9.1944.json,custom
44.321280,9.214980,ov_tana_1934_fish___meat_44.3213_9.2150,TANA 1934 fish & meat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/tana_1934_fish_meat_44.3213_9.2150.json,custom
44.321346,9.214912,ov_buongustaio_doc_44.3213_9.2149,Buongustaio DOC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/buongustaio_doc_44.3213_9.2149.json,custom
44.321423,9.215480,ov_yacht_club_tigullio_1916_44.3214_9.2155,Yacht Club Tigullio 1916,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/yacht_club_tigullio_1916_44.3214_9.2155.json,custom
44.322126,9.204592,ov_ristorante_battigran_44.3221_9.2046,Ristorante Battigran,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_battigran_44.3221_9.2046.json,custom
44.325686,9.215324,ov_the_italian_riviera_44.3257_9.2153,The Italian Riviera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/the_italian_riviera_44.3257_9.2153.json,custom
44.325699,9.215354,ov_ristarante_la_conchiglia_44.3257_9.2154,Ristarante La Conchiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristarante_la_conchiglia_44.3257_9.2154.json,custom
