# lat,lng,id,name,building_type,type,url,page_type
# Volta Mantovana -- Tutti
45.320935,10.660125,osm_bar_gelateria_piva_45.3209_10.6601,Bar Gelateria Piva,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/bar_gelateria_piva_45.3209_10.6601.json,custom
45.321294,10.660172,osm_obcz_45.3213_10.6602,OBCZ,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/obcz_45.3213_10.6602.json,custom
45.303520,10.641250,ov_volta_mantovana_confraternita_san_giorgi_45.3035_10.6412,Volta Mantovana Confraternita San Giorgio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/volta_mantovana_confraternita_san_giorgi_45.3035_10.6412.json,custom
45.307666,10.659452,ov_ganxhe_fitness_45.3077_10.6595,Ganxhe Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/ganxhe_fitness_45.3077_10.6595.json,custom
45.311024,10.663565,ov_morenica_fitness_45.3110_10.6636,Morenica Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/morenica_fitness_45.3110_10.6636.json,custom
45.321820,10.629940,ov_gaetani_sport___fitness_45.3218_10.6299,Gaetani Sport & fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/gaetani_sport_fitness_45.3218_10.6299.json,custom
45.317297,10.656006,ov_palavalle_volta_mantovana_45.3173_10.6560,Palavalle Volta Mantovana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/palavalle_volta_mantovana_45.3173_10.6560.json,custom
45.322771,10.661752,ov_madhya_yoga_45.3228_10.6618,Madhya Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/madhya_yoga_45.3228_10.6618.json,custom
45.324677,10.660343,ov_ex_villa_next_capo_marketing_agency_45.3247_10.6603,EX Villa NEXT Capo Marketing Agency,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/ex_villa_next_capo_marketing_agency_45.3247_10.6603.json,custom
45.345121,10.656727,ov_wild_running_park_45.3451_10.6567,Wild Running Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/wild_running_park_45.3451_10.6567.json,custom
45.319830,10.658822,ov_castello_gonzaga_45.3198_10.6588,Castello Gonzaga,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/castello_gonzaga_45.3198_10.6588.json,custom
45.320858,10.661706,osm_ufficio_postale_di_volta_mantovana_45.3209_10.6617,Ufficio postale di Volta Mantovana,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/ufficio_postale_di_volta_mantovana_45.3209_10.6617.json,custom
45.321011,10.658676,ov_biblioteca_comunale_di_volta_mantovana_45.3210_10.6587,Biblioteca Comunale di Volta Mantovana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/biblioteca_comunale_di_volta_mantovana_45.3210_10.6587.json,custom
45.321001,10.658446,osm_biblioteca_comunale_45.3210_10.6584,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/biblioteca_comunale_45.3210_10.6584.json,custom
